STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,STEVE HURST,STATE HOUSE,35,0,0
ALABAMA,ANDREW JONES,STATE SENATE,10,BULLSEYE PUBLIC AFFAIRS,155420.6
ALABAMA,ANDREW JONES,STATE SENATE,10,CAPITAL ONE,55304.35
ALABAMA,ANDREW JONES,STATE SENATE,10,KELLY SCOTT MADISON,28500.0
ALABAMA,ANDREW JONES,STATE SENATE,10,CYGNAL,13775.0
ALABAMA,ANDREW JONES,STATE SENATE,10,HEDERMAN BROTHERS,10995.81
ALABAMA,ANDREW JONES,STATE SENATE,10,SAND MOUNTAIN BROADCASTING,10869.0
ALABAMA,ANDREW JONES,STATE SENATE,10,MODEL TEES,10867.460000000001
ALABAMA,ANDREW JONES,STATE SENATE,10,ANDREW JONES,10408.910000000002
ALABAMA,ANDREW JONES,STATE SENATE,10,JON COLEY,10000.0
ALABAMA,ANDREW JONES,STATE SENATE,10,IHEARTMEDIA,9746.5
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,WILDFIRE CONTACT,7700.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,UNITEMIZED EXPENSE/UNKNOWN,6293.11
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,ASU FOUNDATION,3000.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,CITIZENS BANK,2500.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,ROY ROBINSON,2350.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,L AND M PROPERTIES,2200.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,ENTERPRISE,2050.5699999999997
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,TAMICA HARRIS,1573.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,WQLS 905,1300.0
ALABAMA,KELVIN JAMICHAEL LAWRENCE,STATE HOUSE,69,ITS ALL CUSTOM DESIGNS,1150.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,DEKLALB COUNTY REPUBLICAN PARTY (ALABAMA),6124.28
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,DESOTO PRINTING,1138.99
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,WVSM,900.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,RAINSVILLE CHAMBER OF COMMERCE,800.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,RODNEY IVY,800.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,DEKALB SHRINERS CLUB,700.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,MONTGOMERY RESTAURANT SERVICES,590.4
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,FORT PAYNE HIGH SCHOOL,525.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,MICK STOWES,500.0
ALABAMA,NATHANIEL LEDBETTER,STATE HOUSE,24,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),458.20000000000005
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,AT&T,3411.55
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,ADLINE WEBSTER,2500.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,DACRUMM PRODUCTIONS,2500.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,WMBX RADIO,2000.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,JSP SPORTS,1663.87
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,ALABAMA NEW SOUTH ALLIANCE MARENGO,1400.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,SEARS CREDIT CARD,1138.33
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,THE SUMMIT GROUP,1121.75
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,GREENE COUNTY HIGH SCHOOL (ALABAMA),1000.0
ALABAMA,ARTIS J. MCCAMPBELL,STATE HOUSE,71,MIND CHANGERS,1000.0
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,POLITICALLY CORRECT CONSULTING,55693.39
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,TENNESSEE VALLEY SIGN & PRINTING,9189.369999999999
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,NORTH ALABAMA SCREEN PRINT,5686.750000000001
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,STRATEGIC IMPACT,5465.72
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,THE PROSPER GROUP,5000.0
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,SINCLAIR BROADCASTING,5000.0
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,WBCF,4659.0
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,DIRECT EDGE CAMPAIGNS,4366.46
ALABAMA,PHILLIP PETTUS,STATE HOUSE,1,GRAPHIC COLOR,3769.12
