STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,ARNOLD NICK,28785.96
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,CHRIS GAST,9802.319999999998
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,KIRSTEN ENGEL FOR STATE SENATE (ARIZONA),9062.0
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,E STREET GROUP,7165.0
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,WILDFIRE MAIL,6783.47
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,CHRISTOPHER GAST,5750.0
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,TOSKR,5213.84
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,RICHTER CHESNEY,5002.75
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,GOOGLE,4967.68
ARIZONA,KIRSTEN ENGEL,STATE SENATE,10,NGP VAN,3502.2000000000007
ARIZONA,JOEL JOHN,STATE HOUSE,4,OTR PRINT,19297.989999999998
ARIZONA,JOEL JOHN,STATE HOUSE,4,THE RESOLUTE GROUP,15098.68
ARIZONA,JOEL JOHN,STATE HOUSE,4,TO THE LIMIT PRINTING,10982.76
ARIZONA,JOEL JOHN,STATE HOUSE,4,ADVICTORY,8750.0
ARIZONA,JOEL JOHN,STATE HOUSE,4,HISPANIC TARGET MEDIA,5550.0
ARIZONA,JOEL JOHN,STATE HOUSE,4,THE CAMPAIGN SOLUTION GROUP,3974.15
ARIZONA,JOEL JOHN,STATE HOUSE,4,STARTECH,3909.35
ARIZONA,JOEL JOHN,STATE HOUSE,4,TIMOTHY SCHLUM,3559.3199999999997
ARIZONA,JOEL JOHN,STATE HOUSE,4,EL DORADO BROADCASTERS,2566.55
ARIZONA,JOEL JOHN,STATE HOUSE,4,SQUARE,1800.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,THE MARKET BUILDER,21135.55
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,KING SIGN,4500.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,DIANE BURNS,1550.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,SEAN DELANEY,300.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,UNITEMIZED EXPENSE/UNKNOWN,291.02
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,LINCOLN WASHBUN,175.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,MARICOPA COUNTY (ARIZONA),142.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,SUPERSTION SPRINGS USPS,70.0
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,KINKO'S,29.71
ARIZONA,JOHN FILLMORE,STATE HOUSE,16,FEDERAL EXPRESS (FEDEX),19.14
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,BRIGHT PHOENIX,25815.85
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,INTERNATIONAL PRINTING COMPANY,10857.5
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,CAMERON ADAMS,9227.39
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,ADLCC,6000.0
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,DANIEL HARRIS MEDIA,4380.0
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,GOOGLE,3850.1800000000003
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,FACEBOOK,3529.4300000000003
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,UNITEMIZED EXPENSE/UNKNOWN,2861.7099999999996
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,INNOVATIVE QUOTIENT MANAGEMENT,2000.0
ARIZONA,JENNIFER JERMAINE,STATE HOUSE,18,ARIZONA DEMOCRATIC PARTY,1750.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,JAVAN MESNARD,STATE SENATE,17,0,0.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,REGINA E COBB 2020,36240.16
ARIZONA,REGINA E. COBB,STATE HOUSE,5,UNITEMIZED EXPENSE/UNKNOWN,22671.67
ARIZONA,REGINA E. COBB,STATE HOUSE,5,INTREPID PUBLIC AFFAIRS,11630.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,LUKE EGGERS,5500.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,PARKER OUTDOOR,4407.52
ARIZONA,REGINA E. COBB,STATE HOUSE,5,BRIAN POWLEY W,3600.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,RYAN O'DANIEL,3075.26
ARIZONA,REGINA E. COBB,STATE HOUSE,5,AMERICAN LEGISLATIVE EXCHANGE (ALEC),950.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,CASH,900.0
ARIZONA,REGINA E. COBB,STATE HOUSE,5,WALMART,827.49
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,CUSTOM DIGITAL GRAPHICS (OMAR ESPINOZA),15210.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,SAM'S CLUB,6955.950000000001
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,FRY'S ELECTRONICS,4683.14
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,LA MACHINE FIELD OPERATIONS,3083.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,AZ DEMOCRATIC LEGISLATIVE CAMPAIGN COMMITTEE (ARIZONA),2500.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,CECILIA GASTELUM,1576.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,CITY OF TOLLESON,1240.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,COSTCO,1212.04
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,SAM GARCIA GOLF TOURNAMENT SPONSORSHIP,1000.0
ARIZONA,GUADALUPE CHAVIRA CONTRERAS,STATE SENATE,19,MIRACLE MILE,836.2499999999999
ARIZONA,JACQUELINE PARKER,STATE HOUSE,16,MODLUXE PRINTING,10153.52
