STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,UNITEMIZED EXPENSE/UNKNOWN,950.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,JESSE GABRIEL,STATE ASSEMBLY,45,0,0.0
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,SPECTRUM REACH,1177296.75
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,SADLER STRATEGIC MEDIA,996949.1
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,OVERLAND STRATEGIES,406469.87
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,YOSEMITE CONSULTING,244131.56
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,INTUIT,204739.24000000005
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),192639.12
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,SWAY DC,110733.12
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,FACEBOOK,105666.55
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,D & K PRINTING & GRAPHICS INC DBA S & S PRINTERS,88889.89
CALIFORNIA,COTTIE PETRIE-NORRIS,STATE ASSEMBLY,74,BERTOLINA & BARNATO,79142.17000000001
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,ANTHONY J. PORTANTINO,STATE SENATE,25,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,UNITEMIZED EXPENSE/UNKNOWN,17800.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,DAVID CHIU,STATE ASSEMBLY,17,0,0.0
CALIFORNIA,JOSH BECKER,STATE SENATE,13,A|L (AL) MEDIA STRATEGY,1173044.38
CALIFORNIA,JOSH BECKER,STATE SENATE,13,RIVER CITY BUSINESS SOLUTIONS,209278.61000000004
CALIFORNIA,JOSH BECKER,STATE SENATE,13,COMCAST,140454.0
CALIFORNIA,JOSH BECKER,STATE SENATE,13,KTVU,129000.0
CALIFORNIA,JOSH BECKER,STATE SENATE,13,CALIFORNIA DEMOCRATIC PARTY,127000.0
CALIFORNIA,JOSH BECKER,STATE SENATE,13,JESSE BROOKS,93266.52
CALIFORNIA,JOSH BECKER,STATE SENATE,13,PATTY ELVEY,87591.73999999999
CALIFORNIA,JOSH BECKER,STATE SENATE,13,KGO,73895.0
CALIFORNIA,JOSH BECKER,STATE SENATE,13,KNTV,73600.0
CALIFORNIA,JOSH BECKER,STATE SENATE,13,RICHARD ROSS,73000.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,ANDREAS BORGEAS,STATE SENATE,8,0,0.0
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,BLANCA RUBIO FOR ASSEMBLY 2022,250000.0
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,UNITEMIZED EXPENSE/UNKNOWN,242844.43
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,CHASE,229209.30000000002
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,MCKINLEY PILLOWS FUNDRAISING,196035.03999999998
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,CAMPAIGN MANAGEMENT GROUP,104800.0
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,MILLER & OLSON LLP,87769.84999999999
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,CALIFORNIA DEMOCRATIC PARTY,81292.54999999999
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,IMAGE CUBE,57346.909999999996
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,BLUE STATE CONSULTING (CALIFORNIA),32526.0
CALIFORNIA,BLANCA E. RUBIO,STATE ASSEMBLY,48,BALVINA JAZMIN CORDOVA,28540.84
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,MAILRITE PRINT & MAIL,594888.91
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,ACOSTA CONSULTING,353219.37
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,CANAL PARTNERS MEDIA,339309.0
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),242178.24
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,YOSEMITE CONSULTING,225000.06
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,THREE POINT MEDIA,146787.8
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,AMPERSAND,146343.65
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,NCC MEDIA,107802.1
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,BALVINA JAZMIN CORDOVA,89076.42000000001
CALIFORNIA,SUSAN TALAMANTES EGGMAN,STATE SENATE,5,BLACK PAC,87066.3
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,IMAGE CUBE,479371.02999999997
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),191190.63
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,SKDKNICKERBOCKER (SKDK),157819.97
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,NEW NATION STRATEGIES,137703.55
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,BLACK PAC,60971.06
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,FAIRBANK MASLIN MAULLIN METZ & ASSOCIATES,56000.0
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,DEANE & COMPANY,53689.98999999999
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,TATIANA ACOSTA,41250.0
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,LOS ANGELES COUNTY REGISTRARRECORDERCOUNTY CLERK (CALIFORNIA),32788.15
CALIFORNIA,SUSAN RUBIO,STATE SENATE,22,POLITICAL DATA,31400.0
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,CANAL PARTNERS MEDIA,1256500.0
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,KFSN TELEVISION,297861.25
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,NCC CABLE TELEVISION SYSTEM,152076.07
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,THREE POINT MEDIA,142303.89
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,KGPE TELEVISION,238873.8
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,CALIFORNIA DEMOCRATIC PARTY,96500.0
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,LG CAMPAIGNS,92500.0
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,KBAK TELEVISION,59929.25
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,MICHELLE W HENRY CONSULTING,50000.0
CALIFORNIA,MELISSA HURTADO,STATE SENATE,14,MAILRITE PRINT & MAIL,48753.25
CALIFORNIA,FRANK BIGELOW,STATE ASSEMBLY,5,CALIFORNIA REPUBLICAN PARTY,201500.0
CALIFORNIA,FRANK BIGELOW,STATE ASSEMBLY,5,WENDY WARFIELD & ASSOCIATES,139403.09
CALIFORNIA,FRANK BIGELOW,STATE ASSEMBLY,5,AMERICA BANK OF,23947.23
CALIFORNIA,FRANK BIGELOW,STATE ASSEMBLY,5,VONA COPP,21799.519999999997
