STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,SUPERIOR BLUE STRATEGIES,46951.28
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,JESSE WENTKER,21343.75
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,BOULDER STRATEGIES,18000.0
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,KATLIN BEGIN,14116.0
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,LANDSLIDE POLITICAL,9301.0
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,STEELE STRATEGIES,7250.0
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,CRUZ ROSIIE,4962.5
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,C&D PRINTING,3789.11
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,COLORADO DEMOCRATIC PARTY,3309.61
COLORADO,LINDSEY N. DAUGHERTY,STATE HOUSE,29,ACTBLUE,2682.7699999999995
COLORADO,JOANN GINAL,STATE SENATE,14,MAD DOG MAIL,11176.83
COLORADO,JOANN GINAL,STATE SENATE,14,JOANN GINAL FOR COLORADO,11055.64
COLORADO,JOANN GINAL,STATE SENATE,14,COLORADO DEMOCRATIC PARTY,5228.0
COLORADO,JOANN GINAL,STATE SENATE,14,DEB ELLINGON,4000.0
COLORADO,JOANN GINAL,STATE SENATE,14,KEVIN HARPER,3015.16
COLORADO,JOANN GINAL,STATE SENATE,14,DOWNTOWN FORT COLLINS BUSINESS ASSOCIATION,2780.0
COLORADO,JOANN GINAL,STATE SENATE,14,KELLY GIDDENS,2123.37
COLORADO,JOANN GINAL,STATE SENATE,14,GINA JANETT,2000.0
COLORADO,JOANN GINAL,STATE SENATE,14,DEBORAH ELLINGSON,2000.0
COLORADO,JOANN GINAL,STATE SENATE,14,BEST BUY,1929.5
COLORADO,KEVIN VAN WINKLE,STATE HOUSE,43,LIBERTY SERVICE GROUP,72300.0
