STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,CEF,6929.91
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,DNA CAMPAIGNS,6271.51
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,WILLOW INVESTMENT GROUP,1700.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,ANNE LOZON,1000.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,PENFIELD COMMUNICATIONS,1000.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,LA VOZ HISPANICA,575.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,TYCO,409.32
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,K&M CATERING,400.0
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,HEARST MEDIA SERVICES,332.5
CONNECTICUT,PATRICIA A. DILLON,STATE HOUSE,92,PATRICIA DILLON,291.19
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,PATRICIA BILLIE MILLER,STATE SENATE,27,0,0.0
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,BARILLE PRINTERS,9939.109999999999
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,SEEC,6087.67
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,ESAM BORAEY,4258.66
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,FACEBOOK,3502.49
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,TIFFANI MCGINNIS,2531.11
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,PETER ANDREWS,2095.1499999999996
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,SON SAWICKI &,1722.5
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,GOOGLE,1666.02
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),1568.4
CONNECTICUT,TAMMY EXUM,STATE HOUSE,19,TOM GOODRUM,1486.37
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,CCM AND COMMITTEE,23644.92
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,CEF,9468.390000000001
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,JOANN MEROLLA-MARTIN,2500.0
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,MATTHEW BROKMAN,962.89
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,TERI BRUCE,599.5799999999999
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,KEVIN RYAN,349.06
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,JEFF GREENFIELD,325.71000000000004
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,ROUTE 32 HOLDING COMPANY,300.0
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,LINDA THEODORU,300.0
CONNECTICUT,KEVIN RYAN,STATE HOUSE,139,TIM BERGIN,282.9
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,PHILLIP YOUNG,STATE HOUSE,120,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,CITIZENS ELECTION FUND (CEF),309.79
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,WHIT BETTS,STATE HOUSE,78,0,0.0
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,WT SMITH CONSULTING,29881.360000000004
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,PATRICIA GEORGE,1600.0
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,TARA SWAGGER,1221.95
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,TURNPIKE BUYER,936.0
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,WILLIAM JENKINS,599.0
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,STAPLES,533.79
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),275.0
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,JOANNE BAKER,250.0
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,KATHLEEN JENKINS,117.99
CONNECTICUT,ANNE DAUPHINAIS,STATE HOUSE,44,MICROSOFT (MSR),106.34
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,SPECTRUM MARKETING,20502.72
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,SALVATORE S BORDONARO,11620.650000000001
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,SIGNPRO,3679.72
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,STEVE WILSON,2665.77
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,ALLIANCE GRAPHICS,2509.8700000000003
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,OUTFRONT MEDIA,1500.0
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,SEEC,1470.88
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,RECORD JOURNAL,1292.0
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,GEORGE MILLERD,994.4599999999999
CONNECTICUT,DONNA VEACH,STATE HOUSE,30,DONNA VEACH,567.14
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,BLUE EDGE STRATEGIES,25230.29
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,CEF,6490.08
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,FACEBOOK,1694.69
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,RMEDIA,1500.0
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,SANTOS FARLEY A,1268.92
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,FRANK SALVATORE,1000.0
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,DAY CAMPAIGN,598.01
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,ROUTE 6 MAILROOM,385.0
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,DASILVA REALTY,300.0
CONNECTICUT,DAVID ARCONTI,STATE HOUSE,109,ANDREA GARTNER,168.02
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,BARILE PRINTERS,5614.750000000001
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),5149.33
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,JAMI L DOHONEY,5000.0
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,TRIPLE STITCH BRAND PROMOTIONS,4261.21
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,CEF,2554.49
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,WATTERWORTH SIGNS,2472.63
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,MICHAEL DIGIOVANCARLO,1605.0800000000002
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,FERNANDO CERDENA,1500.0
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,BUDGET,1260.25
CONNECTICUT,MICHAEL DIGIOVANCARLO,STATE HOUSE,74,RIA'S,957.89
