STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,RENAISSANCE PRINTING,9689.73
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,MINORITY BUSINESS LISTINGS,3205.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,THE PRINT SHOP OF CHIEFLAND,2403.2200000000003
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,FLORIDA DEMOCRATIC PARTY,750.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,LANDON JONES,640.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,SUNCLOUD DESIGN,556.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,KISS 1053 FM,520.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,PRAIZE 1075 RADIO,500.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,FOX PRINT AND CREATIVE PUBLISHING,500.0
FLORIDA,YVONNE HAYES HINSON,STATE HOUSE,20,YVONNE HAYES HINSON CAMPAIGN,450.0
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,MIRANDA ADVOCACY,166108.1
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,SMART MEDIA GROUP,90000.0
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,FACEBOOK,25186.07
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,DORAL MEDICAL EQUIPMENT AND SUPPLIES,14035.0
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,PUERTO RENFROW,12108.779999999999
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,JJ IMPORTERS,11670.0
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,BLAIR SAMANTHA,11366.19
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,CAPITAL CAMPAIGN GROUP,11025.0
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,JAVIER MANSO,8008.78
FLORIDA,VANCE ALOUPIS,STATE HOUSE,115,ULINE,7527.549999999999
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,DATA TARGETING RESEARCH,74642.98
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,REPUBLICAN PARTY OF FLORIDA,40700.0
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,CYNDI STEVENSON CAMPAIGN 2020,19944.0
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,CAPITAL CAMPAIGN GROUP,10466.619999999999
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,SAMANTHA BLAIR,4645.0
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,THE ST AUGUSTINE RECORD,1930.0
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,FLORIDA DEPARTMENT OF STATE,1781.82
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,UNITED WAY OF ST JOHNS COUNTY (FLORIDA),1500.0
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,HAVANA PUBLISHING GROUP,1020.0
FLORIDA,CYNDI STEVENSON,STATE HOUSE,17,ST JOHNS COUNTY LEGAL AID (FLORIDA),1000.0
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,FRONT LINE STRATEGIES,84933.1
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,TOMMY GREGORY OFFICE ACCOUNT,29313.53
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,TOMMY GREGORY CAMPAIGN,18000.0
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,ALYSSA GAY CONSULTING,12150.0
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,REPUBLICAN PARTY OF SARASOTA (FLORIDA),10299.470000000001
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,KD LOGISTICS,9458.66
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,THE THOMSON GROUP,9000.0
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,ROBINSON GRUTERS & ROBERTS,8600.0
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,REPUBLICAN PARTY OF MANATEE COUNTY (FLORIDA),6000.0
FLORIDA,TOMMY GREGORY,STATE HOUSE,73,THOMAS MACKIE,4997.84
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,DEVIN COATS,32886.0
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,JANICE BYERS,18065.67
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,COX MEDIA,15096.0
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,PERRY THURSTON CAMPAIGN,14500.0
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,DOUG LYONS MEDIA,6060.0
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,US POST MASTER,5784.67
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,DAWN THURSTON,5591.9400000000005
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,BEYOND REVEALED MEDIA,4881.0
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,PA ANTHONY BRUNSON,4500.0
FLORIDA,PERRY E. THURSTON,STATE SENATE,33,BROWARD ELECTRIC CAR AND EQUIPMENT,3210.0
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,SNYDER PICKERILL MEDIA GROUP,246982.84999999998
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,BLUE TICKET CONSULTING,49000.880000000005
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,DELIVER STRATEGIES,37017.22
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,SB DIGITAL,8000.0
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,SEA POLLING,7900.0
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,THE SEXTON GROUP,7628.32
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,ANEDOT,3944.75
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,NGP VAN,3840.0
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,DIAMOND BEN,2359.42
FLORIDA,BENJAMIN FRANK DIAMOND,STATE HOUSE,68,PA MEYER BROOKS DEMMA AND BLOHM,2137.5
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,MCLAUGHLIN & ASSOCIATES,167000.0
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,ELECTION MANAGEMENT SOLUTIONS,78909.42
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,SUPERNOVA DIGITAL COMMUNICATIONS,78857.88
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,POLITICAL CAPITAL,76114.01
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,POLI SOLUTIONS CONSULTING,75684.6
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,FERRIN CONSULTING,43655.38
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,SENATOR JEFF BRANDES OFFICE ACCOUNT,36959.62
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,ROBERT WATKINS & COMPANY,24000.0
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,ENTERPRISE,23700.0
FLORIDA,JEFFREY PAUL BRANDES,STATE SENATE,24,EM CAMPAIGNS,18580.629999999997
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,UMUNNA LEGAL GROUP,8250.0
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,IMAGINE ARTS,7743.370000000001
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,NAMHAR COMMUNICATIONS AND PRODUCTIONS,9000.0
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,EXPRESS PRINTING,6217.85
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,JOHNSON RAHMAN,5000.0
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,INDEPENDENT STRATEGIES,2296.33
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),2255.0
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,FLORIDA DEPARTMENT OF STATE,1781.82
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,JACKSON SIOTTIS,1500.0
FLORIDA,TRACIE DAVIS,STATE HOUSE,13,NANCY EVANS,1120.0
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,STRATEGIC IMAGE MANAGEMENT (SIMWINS),322522.35
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,JACKIE TOLEDO STATE HOUSE OFFICE ACCOUNT (FLORIDA),40000.0
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,FULCRUM CAMPAIGN STRATEGIES,20000.0
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,CATALYST COMMUNICATIONS GROUP,17500.0
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,JACKIE TOLEDO CAMPAIGN,16866.14
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,ALPHA GROUP FINANCIAL,12800.0
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,LYNETTE RUSSELL CONSULTING,12537.5
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,GULF COAST IMPRINTING,12008.239999999998
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,PEOPLE WHO THINK,10000.0
FLORIDA,JACKELINE TOLEDO,STATE HOUSE,60,IHEARTMEDIA,9510.25
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,MENTZER MEDIA,253997.0
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,DATA TARGETING,172864.0
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,FLORIDA REPUBLICAN SENATORIAL CAMPAIGN COMMITTEE,25000.0
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,CARROLL AND COMPANY CPAS,21220.609999999997
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,JENNIFER BRADLEY CAMPAIGN,20000.0
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,JENNIFER BRADLEY OFFICE ACCOUNT,20000.0
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,CONSENSUS MEDIA,17873.14
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,KATELYN E HEFFLEY,9000.0
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,WINNING CONCEPTS USA,8656.83
FLORIDA,JENNIFER BRADLEY,STATE SENATE,5,JP HALL CHILDREN'S CHARITIES,5750.0
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,STRATEGIC IMAGE MANAGEMENT (SIMWINS),69259.59
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,JAMES BUCHANAN CAMPAIGN,32349.59
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,CHRISTOPHER HODGE,26192.239999999998
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,JAMES BUCHANAN OFFICE ACCOUNT,20000.0
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,ROBINSON GRUTERS & ROBERTS,8250.0
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,REPUBLICAN PARTY OF SARASOTA (FLORIDA),5000.0
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,MAXWELL WITTER,2554.15
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,FORWARD STRATEGIES,2000.0
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,FLORIDA DEPARTMENT OF STATE,1781.82
FLORIDA,JAMES VERNON BUCHANAN,STATE HOUSE,74,GERLINDE PHOTOGRAPHY,1391.75
FLORIDA,DAN DALEY,STATE HOUSE,97,DAN DALEY CAMPAIGN ACCOUNT,49935.19
FLORIDA,DAN DALEY,STATE HOUSE,97,THE AUGUST COMPANY,42275.0
FLORIDA,DAN DALEY,STATE HOUSE,97,NATIONAL CAMPAIGN BRANDING,51005.65
FLORIDA,DAN DALEY,STATE HOUSE,97,JOHNSON CAMPAIGNS,13500.0
FLORIDA,DAN DALEY,STATE HOUSE,97,VANCORE JONES,11500.0
FLORIDA,DAN DALEY,STATE HOUSE,97,DAN DALEY OFFICE ACCOUNT,10000.0
FLORIDA,DAN DALEY,STATE HOUSE,97,STARTFORD STRATEGIES,10000.0
FLORIDA,DAN DALEY,STATE HOUSE,97,HILTON HOTELS,3362.9199999999996
FLORIDA,DAN DALEY,STATE HOUSE,97,FLORIDA DEPARTMENT OF STATE,1781.82
FLORIDA,DAN DALEY,STATE HOUSE,97,FLORIDA DIVISION OF ELECTIONS,1781.82
FLORIDA,KELLY A. SKIDMORE,STATE HOUSE,81,VICTORY POLITICAL MAIL,38429.0
FLORIDA,KELLY A. SKIDMORE,STATE HOUSE,81,IMPACT POLITICS,28000.0
FLORIDA,KELLY A. SKIDMORE,STATE HOUSE,81,KELLY SKIDMORE OFFICE ACCOUNT,20000.0
FLORIDA,KELLY A. SKIDMORE,STATE HOUSE,81,JOHNSON STRATEGIES,13000.0
