STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,BERGMANN ZWERDLING DIRECT,45960.810000000005
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,PRESTON THOMPSON,33000.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,TWIN HARBOR GROUP,14500.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,BEN HARRIS,6000.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),4210.4
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,CHANGE RESEARCH,4100.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,VIVIAN TONG,4000.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,APPEN MEDIA GROUP,3810.3
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,STEVEN STRASBERG,3500.0
GEORGIA,MARY ROBICHAUX,STATE HOUSE,48,GOOGLE,2244.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,COMCAST,10065.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,CLASH GRAPHICS,6476.71
GEORGIA,GREGG KENNARD,STATE HOUSE,102,BEST BUY,1598.53
GEORGIA,GREGG KENNARD,STATE HOUSE,102,KROGER,1291.19
GEORGIA,GREGG KENNARD,STATE HOUSE,102,HUSTLE,1100.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,JEFF CURTIS,1050.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,DEMOCRATIC HOUSE CAUCUS (GEORGIA),1000.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,FACEBOOK,934.7
GEORGIA,GREGG KENNARD,STATE HOUSE,102,DEPENDABLE MAILING,786.0
GEORGIA,GREGG KENNARD,STATE HOUSE,102,GWINNETT COUNTY DEMOCRATIC PARTY (GEORGIA),600.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,GERALD HUDGINS,1270.62
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,BRIAN STRICKLAND,STATE SENATE,17,0,0.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,THE OAKWOOD CAFE,7162.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,CHEROKEE BREWING,6265.36
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,ELECT DON HOGAN,5000.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,JAY LIN FOR GA,2800.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,CHUCK EFSTRATION FOR HOUSE,2500.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,FRIENDS OF DON PARSONS,2500.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,GEORGIA LYNDSEY RUDDER FOR,2500.0
GEORGIA,KASEY CARPENTER,STATE HOUSE,4,FRIENDS OF BERT REEVES,2500.0
