STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,EDWARD ENTERPRISES,31180.65
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,TKC HAWAII RESOURCES,4000.0
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,SIGNS ON THE CHEAP,1149.89
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,ADOBE,1115.41
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,VISTAPRINT,1077.17
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,JEANNE KAPELA,1000.0
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,SAM'S CLUB,750.41
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,COSTCO,613.1
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,TEAM PRIDE ACADEMY,500.0
HAWAII,SEAN ANTHONY QUINLAN,STATE HOUSE,47,AARON AGSALDA,500.0
HAWAII,SHARON E. HAR,STATE HOUSE,42,RESKYU,9099.47
HAWAII,SHARON E. HAR,STATE HOUSE,42,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),2449.85
HAWAII,SHARON E. HAR,STATE HOUSE,42,AH LOO CATERING,1093.81
HAWAII,SHARON E. HAR,STATE HOUSE,42,COSTCO,1072.8400000000001
HAWAII,SHARON E. HAR,STATE HOUSE,42,JADE DYNASTY SEAFOOD RESTAURANT,868.81
HAWAII,SHARON E. HAR,STATE HOUSE,42,GO DADDY,618.65
HAWAII,SHARON E. HAR,STATE HOUSE,42,SERVICE PRINTERS HAWAII,261.78
HAWAII,SHARON E. HAR,STATE HOUSE,42,KAPOLEI KOREAN BARBECUE,194.76
HAWAII,SHARON E. HAR,STATE HOUSE,42,LONGS DRUGS,160.0
HAWAII,SHARON E. HAR,STATE HOUSE,42,ICDSOFT,153.6
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,MAUI PRINTING CO,15422.820000000002
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),11742.05
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,SAE DESIGN,5846.6
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,4IMPRINT,4652.86
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,COSTCO,3168.07
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,RESKYU,2043.98
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,THE MANDALAY,1941.15
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,KOMODA STORE & BAKERY,1625.0
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,UNITED AIRLINES,1529.4699999999998
HAWAII,KYLE T. YAMASHITA,STATE HOUSE,12,OMNI NASHVILLE HOTEL,1274.5
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,ALOHA BUSINESS MAILERS,4598.32
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,DAVID TARNAS,4232.450000000001
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,JAMES E HUSTACE,1556.77
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,NGP VAN,1092.15
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,GO DADDY,918.91
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,ZOE C SIMS,912.85
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,FIRST HAWAIIAN BANK,810.92
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,KONAKOHALA CHAMBER OF COMMERCE,760.0
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,OAHU PUBLICATIONS,548.7
HAWAII,DAVID ANTHONY TARNAS,STATE HOUSE,7,SEVEN ELEVEN,350.0
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,CARDINAL SERVICES,12889.89
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,SERVICE PRINTERS HAWAII,5227.23
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,RESKYU,5186.38
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,WILLIAM L SHIPLEY ATTORNEY AT LAW,2782.8
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),2140.78
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,FACEBOOK,1256.02
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,AIEA COPY CENTER,1222.38
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,DEMOCRATIC PARTY OF HAWAII,610.0
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,BERETANIA CONSULTING,600.0
HAWAII,MATTHEW S. LOPRESTI,STATE HOUSE,41,OAHU PUBLICATIONS,411.91
HAWAII,GENE R. WARD,STATE HOUSE,17,RESKYU,11590.58
HAWAII,GENE R. WARD,STATE HOUSE,17,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),10673.529999999999
HAWAII,GENE R. WARD,STATE HOUSE,17,REPUBLICAN PARTY OF HAWAII,4200.0
HAWAII,GENE R. WARD,STATE HOUSE,17,KAI ROYS HAWAII,2899.82
HAWAII,GENE R. WARD,STATE HOUSE,17,FRIENDS OF DIAMOND GARCIA,2000.0
HAWAII,GENE R. WARD,STATE HOUSE,17,FRIENDS OF BOB MCDERMOTT,2000.0
HAWAII,GENE R. WARD,STATE HOUSE,17,TEAM ALCOS 41,2000.0
HAWAII,GENE R. WARD,STATE HOUSE,17,PAYPAL,1860.6600000000003
HAWAII,GENE R. WARD,STATE HOUSE,17,WAIKIKI YACHT CLUB,1627.8200000000002
HAWAII,GENE R. WARD,STATE HOUSE,17,IMPERIAL SALES,1500.0
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,SERVICE PRINTERS HI,4502.91
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,PINOY POWER RADIO,2570.0
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,VISTAPRINT,2215.15
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),876.37
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,KNDI,700.0
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,TRISH L CHICA,100.0
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,TAM ADRIAN,50.0
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,0,0.0
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,0,0.0
HAWAII,ERNESTO M. GANADEN,STATE HOUSE,30,0,0.0
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,CARDINAL MAILING SERVICES,13647.8
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,RYAN'S GRAPHICS,8125.66
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,HAWAII HOCHI,7000.88
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,WAIPAHU HIGH SCHOOL,3500.0
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,4IMPRINT,3459.56
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,PEARL CITY HIGH SCHOOL,3000.0
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,OCEAN AIR SCREENPRINTING,2741.36
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,IYAMATSU DAVIN,2040.0
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,HONOLULU STAR ADVERTISER,1209.42
HAWAII,CLARENCE K. NISHIHARA,STATE SENATE,17,THE MANDALAY,1002.0
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,HIEHIE COMMUNICATIONS,15735.599999999999
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,WEST HAWAII TODAY,10045.76
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,CREATIVE ARTS HAWAII,7244.219999999999
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,SERVICE PRINTERS HAWAII,5675.39
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),4985.13
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,LES APOLIONA,1800.0
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,LOCAL PRODUCTIONS,1796.8500000000001
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,4DIGITAL PRINT,700.0
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,NATIONBUILDER,596.0
HAWAII,DRU MAMO KANUHA,STATE SENATE,3,THE FEEDING LEAF,505.21
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,EDWARD ENTERPRISES,20415.39
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,THIS WEEK PUBLICATION,6024.08
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,AMERICAN AIRLINES,2178.09
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,FRIENDS OF SCOT MATAYOSHI,2000.0
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,FRIENDS OF KAIALII KAHELE,2000.0
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,HAGADON MEDIA GROUP,1759.16
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,WESTSIDE STORIES,1701.57
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,DELL,1500.0
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,MICHELLE C CHANELONEIL,1500.0
HAWAII,STACELYNN KEHAULANI ELI,STATE HOUSE,43,COSTCO,1095.26
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,SERVICE PRINTERS HAWAII,4302.62
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),3999.34
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,MANDALAY RESTAURANT,1703.0700000000002
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,FRIENDS FOR CALVIN SAY,1000.0
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,FRIENDS OF LISA KITAGAWA,1000.0
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,FRIENDS OF TROY HASHIMOTO,1000.0
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,ELI FRIENDS OF STACELYNN,1000.0
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,TRISH LA CHICA,500.0
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,MOANALUA HIGH SCHOOL PTSA,380.0
HAWAII,LINDA E. ICHIYAMA,STATE HOUSE,32,DANIEL ICHIYAMA,314.14
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,SERVICE PRINTERS HAWAII,6463.56
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),6375.92
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,PROFESSIONAL IMAGE,4974.14
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,A CATERED EXPERIENCE,3010.47
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,FRANK DELIMA,2500.0
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,JON BASEBASE,2000.0
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,HAWAII HOCHI,1913.31
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,ISAAC W CHOY CPA,1759.16
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,HOLIDAY INN,812.1
HAWAII,BRIAN T. TANIGUCHI,STATE SENATE,11,MAPLE GARDEN,752.16
HAWAII,MICHELLE KIDANI,STATE SENATE,18,RESKYU,29117.43
HAWAII,MICHELLE KIDANI,STATE SENATE,18,PONO MEDIA,7853.4
HAWAII,MICHELLE KIDANI,STATE SENATE,18,TRADE PUBLISHING COMPANY,7414.05
HAWAII,MICHELLE KIDANI,STATE SENATE,18,HANABUSA FOR GOVERNOR,6000.0
HAWAII,MICHELLE KIDANI,STATE SENATE,18,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),5954.780000000001
HAWAII,MICHELLE KIDANI,STATE SENATE,18,JILL TOKUDA,5500.0
HAWAII,MICHELLE KIDANI,STATE SENATE,18,CARDINAL MAILING SERVICES,4365.84
HAWAII,MICHELLE KIDANI,STATE SENATE,18,OHANA OF HULU LINDSEY FOR OHA,4000.0
HAWAII,MICHELLE KIDANI,STATE SENATE,18,ALICIA MALUAFITI,4000.0
HAWAII,MICHELLE KIDANI,STATE SENATE,18,MILILANI HIGH SCHOOL,3750.0
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,RESKYU,48396.29
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),34882.19
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,DEMOCRATIC PARTY OF HAWAII,4775.0
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,MANULELE DISTILLERS,4107.85
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,AMEMIYA FOR MAYOR,4000.0
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,HO FARMS GENERAL ACCOUNT,4000.0
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,WATERMARK PUBLISHING,3924.56
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,DHGATE,3920.82
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,KTJ DESIGN,3769.66
HAWAII,DONOVAN M. DELA CRUZ,STATE SENATE,22,BROKEN RICE,3587.4300000000003
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,DMM ENTERPRISES,37830.350000000006
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,SERVICE PRINTERS HAWAII,24998.94
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,DSINE MEDIA,5345.29
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,AS INSPIRED MEDIA,4737.52
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,DEMOCRATIC PARTY OF HAWAII,4250.0
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,PACIFIC CLUB,3920.0299999999997
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,AMERICAN SOLUTIONS FOR BUSINESS,3497.38
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,LISA KITAGAWA,2000.0
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,LEE CHRIS,2000.0
HAWAII,SCOTT K. SAIKI,STATE HOUSE,26,ELI STACELYNN,2000.0
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,JPG HAWAII,5300.52
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,4IMPRINT,3051.0699999999997
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,DMM ENTERPRISES,2911.14
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,STAR-ADVERTISER,1047.12
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,DUC'S BISTRO,900.0
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,AWARDLINE,762.23
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,AIEA COPY CENTER,682.13
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,COSTCO,639.5899999999999
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,HAWAIIAN AIRLINES,607.2
HAWAII,HENRY J. C. AQUINO,STATE HOUSE,38,RESTAURANT KUNI,535.66
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,EDWARD ENTERPRISES,4515.19
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,ELI FRIENDS OF STACELYNN,2000.0
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,FRIENDS OF LISA KITAGAWA,1850.0
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,RUTH'S CHRIS STEAK HOUSE,1383.76
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,DEMOCRATIC PARTY OF HAWAII,1250.0
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,NATIONBUILDER,1121.0
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,FRIENDS OF TOM BROWER,1000.0
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,FRIENDS OF PATRICK PIHANA BRANCO,1000.0
HAWAII,AARON LING JOHANSON,STATE HOUSE,31,SANTIAGO MONISHA G,647.12
