STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
IDAHO,C. SCOTT GROW,STATE SENATE,14,ARENA,38078.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,THE AGENCY,8860.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,INNERVOICE GROUP,5475.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,MERIDIAN RESOURCES,4766.67
IDAHO,C. SCOTT GROW,STATE SENATE,14,ESP PRINTING AND MAILING,4103.31
IDAHO,C. SCOTT GROW,STATE SENATE,14,ARLIN JONES,3504.4200000000005
IDAHO,C. SCOTT GROW,STATE SENATE,14,C SCOTT GROW,1847.89
IDAHO,C. SCOTT GROW,STATE SENATE,14,B1,1000.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,G20,1000.0
IDAHO,C. SCOTT GROW,STATE SENATE,14,KEVIN STRAIN,737.48
IDAHO,PETER RIGGS,STATE SENATE,3,TREASURE VALLEY LITHO,10593.539999999999
IDAHO,PETER RIGGS,STATE SENATE,3,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),5045.0
IDAHO,PETER RIGGS,STATE SENATE,3,SHENANGO SCREENPRINTING,2780.38
IDAHO,PETER RIGGS,STATE SENATE,3,STAPLES,2398.2900000000004
IDAHO,PETER RIGGS,STATE SENATE,3,CEDAR HOUSE MEDIA,1868.3700000000001
IDAHO,PETER RIGGS,STATE SENATE,3,FACEBOOK,1593.25
IDAHO,PETER RIGGS,STATE SENATE,3,AMAZON,1563.97
IDAHO,PETER RIGGS,STATE SENATE,3,HAGADONE MEDIA GROUP,1552.5
IDAHO,PETER RIGGS,STATE SENATE,3,MERIDIAN RESOURCES,900.0
IDAHO,PETER RIGGS,STATE SENATE,3,COEUR D'ALENE PRESS,700.0
IDAHO,CHRISTY ZITO,STATE SENATE,23,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),4461.17
IDAHO,CHRISTY ZITO,STATE SENATE,23,KALISTO DESIGN,6022.1
IDAHO,CHRISTY ZITO,STATE SENATE,23,FACEBOOK,2782.4100000000003
IDAHO,CHRISTY ZITO,STATE SENATE,23,QUALITY ADVERTISING & PUBLISHING,1927.2
