STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,SKDKNICKERBOCKER (SKDK),500375.0
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,DOVER STRATEGY GROUP,78325.88
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,BREAKER PRESS COMPANY,24758.0
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,WINNING CONNECTIONS,18707.65
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,NACCARATO PROPERTIES,7643.5
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),7631.8
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,EXTENDED STAY AMERCIA CHICAGO NAPERVILLE WEST,5917.46
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,UNION SIGNS AND PRINTING,3892.0
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,UPMA ZAVERI,3015.0
ILLINOIS,JANET YANG ROHR,STATE HOUSE,41,KESENIA MARTEN,2438.25
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,SNYDER PICKERILL MEDIA GROUP,1413140.0
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,DO BIG THINGS,100000.0
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,WILDFIRE CONTACT,97989.36000000002
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,SENATE DEMOCRATIC VICTORY FUND (ILLINOIS),60000.0
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,KMM CONSULTING,25500.0
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,PALMER ERIC D,20116.2
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,ANDREW ELLISON,14333.33
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,JOHN HANCOCK LIFE INSURANCE CO,13318.079999999998
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,SARA FEIGER,11826.8
ILLINOIS,ANN GILLESPIE,STATE SENATE,27,OLIVIA BRADLEY,11307.6
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,BREEN & PUGH ATTORNEYS AT LAW,17500.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,J QUINN MUCKER,3400.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,ACURA FINANCIAL SERVICES,2694.02
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,DEMOCRATIC MAJORITY,2500.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,CITIZENS FOR ARIEL REBOYRAS,2000.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,LENA'S PIZZA,1950.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,STATE FARM INSURANCE (ILLINOIS),1912.59
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,CITIZENS FOR O'CONNOR,1500.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,6537 ARCHER BLDG,1000.0
ILLINOIS,MICHAEL J. ZALEWSKI,STATE HOUSE,23,CITIZENS TO ELECT ANTHONY BEALE,1000.0
ILLINOIS,STEVEN M. LANDEK,STATE SENATE,12,GG MEDIA,36793.99
ILLINOIS,STEVEN M. LANDEK,STATE SENATE,12,DEMOCRATIC ORGANIZATION OF LYONS TOWNSHIP (ILLINOIS),33253.41
ILLINOIS,STEVEN M. LANDEK,STATE SENATE,12,DIVERSIFIED DIRECT,14932.2
ILLINOIS,STEVEN M. LANDEK,STATE SENATE,12,SENATE DEMOCRATIC VICTORY FUND (ILLINOIS),10000.0
ILLINOIS,STEVEN M. LANDEK,STATE SENATE,12,CITIZENS FOR MUNOZ,5000.0
