STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,ERIC ALLAN KOCH,STATE SENATE,44,0,0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,HOUSE REPUBLICAN CAMPAIGN COMMITTEE (INDIANA),56180.0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,INDIANA REPUBLICAN PARTY,22650.0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,INDIANA REPUBLICAN STATE COMMITTEE,20887.1
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,COUNTRY CLUB OF INDIANAPOLIS,5970.4
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,GREGORY E STEUERWALD,5855.54
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,CATALYST PUBLIC AFFAIRS GROUP,3855.34
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,LINX OF INDIANAPOLIS,3507.61
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,BEACON SIGN COMPANY,2588.54
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,GEORGE'S PRO SHOP,1300.0
INDIANA,GREGORY E. STEUERWALD,STATE HOUSE,40,JEFFERY S DORMAN,1200.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,HOUSE REPUBLICAN CAMPAIGN COMMITTEE (INDIANA),7500.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,MICHAEL & DELORES AYLESWORTH,4000.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,EDDA TAYLOR PHOTOGRAPHY,747.43
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,CHASE,456.17
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,AMATEUR SPORTS PROMOTIONS,597.99
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),346.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,CEDAR LAKE REPUBLICANS (INDIANA),250.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,LAKE COUNTY AGRICULTURAL SOCIETY (INDIANA),200.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,LAKE COUNTY REPUBLICAN PARTY (INDIANA),160.0
INDIANA,MICHAEL J. AYLESWORTH,STATE HOUSE,11,PORTER COUNTY REPUBLICANS (INDIANA),150.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,IN HOUSE DEMOCRATIC CAUCUS (INDIANA),11000.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,NATION CONSULTING,5500.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,LAMAR ADVERSTISING,2475.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,INDIANA ELECTIONS DIVISION,1500.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,UNITEMIZED EXPENSE/UNKNOWN,1486.6399999999999
INDIANA,TONYA PFAFF,STATE HOUSE,43,JEWETT PRINTING,1353.55
INDIANA,TONYA PFAFF,STATE HOUSE,43,ENVISIONARY,1052.5
INDIANA,TONYA PFAFF,STATE HOUSE,43,MARA FOR CONGRESS,1000.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,BAR BOSCO,950.0
INDIANA,TONYA PFAFF,STATE HOUSE,43,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),775.0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,HOUSE REPUBLICAN CAMPAIGN COMMITTEE (INDIANA),12074.76
INDIANA,SHANE LINDAUER,STATE HOUSE,63,FRIENDS OF THE NRA,4601.0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,WAMW,2835.0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,SAGE MEDIA (MUNDY KATOWITZ MEDIA),1992.0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,CATALYST PUBLIC AFFAIRS,1130.49
INDIANA,SHANE LINDAUER,STATE HOUSE,63,DUBOIS COUNTY REPUBLICANS (INDIANA),785.0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,THE WASHINGTON TIMES HERALD,1354.85
INDIANA,SHANE LINDAUER,STATE HOUSE,63,DAVIESS COUNTY RIGHT TO LIFE (INDIANA),680.0
INDIANA,SHANE LINDAUER,STATE HOUSE,63,CG PROMOTIONALS,614.61
INDIANA,SHANE LINDAUER,STATE HOUSE,63,SOUTHERN IN LEATHERNECKS,580.0
INDIANA,STACEY DONATO,STATE SENATE,18,Q GRAPHICS,32211.379999999997
INDIANA,STACEY DONATO,STATE SENATE,18,THE PROSPER GROUP,5480.55
INDIANA,STACEY DONATO,STATE SENATE,18,KASSIE CLARK,2975.0
INDIANA,STACEY DONATO,STATE SENATE,18,WINNING EDGE,2211.69
INDIANA,STACEY DONATO,STATE SENATE,18,IRON HORSE BROADASTING,1563.66
INDIANA,STACEY DONATO,STATE SENATE,18,FACEBOOK,1332.4299999999998
INDIANA,STACEY DONATO,STATE SENATE,18,WROI FM,650.0
INDIANA,STACEY DONATO,STATE SENATE,18,DREAM WEAVER MARKET,500.0
INDIANA,STACEY DONATO,STATE SENATE,18,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),440.0
INDIANA,STACEY DONATO,STATE SENATE,18,WALMART,271.32
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,SPECIALIZED PRINTED PRODUCTS,12957.85
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,HOUSE REPUBLICAN CAMPAIGN COMMITTEE (INDIANA),10000.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,ALLEN COUNTY REPUBLICAN PARTY (INDIANA),3759.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,AGE GRAPHICS,3092.5
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,PAUL LAGEMANN,2500.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,FRIENDS OF JUSTIN BUSCH,2500.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,BEST BUY,2010.52
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,JUDY CHRISTOPHER N,1500.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,COMMITTEE TO ELECT NATHAN HARTMAN,1500.0
INDIANA,CHRISTOPHER N. JUDY,STATE HOUSE,83,WAYNE MEN'S WEARHOUSE FORT,1332.31
INDIANA,JOHN JACOB,STATE HOUSE,93,DAVANT,50239.55
INDIANA,JOHN JACOB,STATE HOUSE,93,FACEBOOK,7974.39
INDIANA,JOHN JACOB,STATE HOUSE,93,CRUX CONSULTING,2100.0
