STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
IOWA,MARTI ANDERSON,STATE HOUSE,36,IOWA DEMOCRATIC PARTY,38700.0
IOWA,MARTI ANDERSON,STATE HOUSE,36,MARTI ANDERSON,1330.6100000000001
IOWA,MARTI ANDERSON,STATE HOUSE,36,CARTER PRINTING,1128.53
IOWA,MARTI ANDERSON,STATE HOUSE,36,ACTBLUE,531.11
IOWA,MARTI ANDERSON,STATE HOUSE,36,GOLF CARTS OF IOWA,475.1
IOWA,MARTI ANDERSON,STATE HOUSE,36,RICK DRESSLER,300.0
IOWA,MARTI ANDERSON,STATE HOUSE,36,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),126.3
IOWA,MARTI ANDERSON,STATE HOUSE,36,GROUNDS FOR CELEBRATION,125.0
IOWA,MARTI ANDERSON,STATE HOUSE,36,BEST PORTABLE TOILETS,90.95
IOWA,MARTI ANDERSON,STATE HOUSE,36,SCRATCH CUPCAKERY,72.0
IOWA,ANN MEYER,STATE HOUSE,9,REPUBLICAN PARTY OF IOWA,125500.0
IOWA,ANN MEYER,STATE HOUSE,9,ALPHA MEDIA,3441.0
IOWA,ANN MEYER,STATE HOUSE,9,MESSENGER,3055.0
IOWA,ANN MEYER,STATE HOUSE,9,VICTORY ENTERPRISES,2178.35
IOWA,ANN MEYER,STATE HOUSE,9,COMMUNITY ORCHARD,1005.8
IOWA,ANN MEYER,STATE HOUSE,9,JIFI PRINT,337.38
IOWA,ANN MEYER,STATE HOUSE,9,DEMOCRACY ENGINE,240.0
IOWA,ANN MEYER,STATE HOUSE,9,WIN RED,169.20999999999998
IOWA,ANN MEYER,STATE HOUSE,9,BOMGAARS,113.18
IOWA,ANN MEYER,STATE HOUSE,9,SPORTS PAGE GRILL AND BAR,100.0
IOWA,HENRY STONE,STATE HOUSE,7,BISON GRAPHICS,4636.51
IOWA,HENRY STONE,STATE HOUSE,7,REPUBLICAN PARTY OF IOWA,3500.0
IOWA,HENRY STONE,STATE HOUSE,7,VICTORY ENTERPRISES,1421.4499999999998
IOWA,HENRY STONE,STATE HOUSE,7,KILR,556.0
IOWA,HENRY STONE,STATE HOUSE,7,KLGA,550.0
IOWA,HENRY STONE,STATE HOUSE,7,KIOW,457.5
IOWA,HENRY STONE,STATE HOUSE,7,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),165.0
IOWA,HENRY STONE,STATE HOUSE,7,ANEDOT,49.300000000000004
IOWA,HENRY STONE,STATE HOUSE,7,IOWA FARM BUREAU FEDERATION,14.0
IOWA,HENRY STONE,STATE HOUSE,7,MBT BANK,2.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
IOWA,MICHEAL T. KLIMESH,STATE SENATE,28,0,0.0
