STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,UNITEMIZED EXPENSE/UNKNOWN,162153.86
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,JIMMY HIGDON,STATE SENATE,14,0,0.0
KENTUCKY,BILL WESLEY,STATE HOUSE,91,TWIN CEDARS,4886.16
KENTUCKY,BILL WESLEY,STATE HOUSE,91,UNITEMIZED EXPENSE/UNKNOWN,2461.53
KENTUCKY,BILL WESLEY,STATE HOUSE,91,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),1496.0
KENTUCKY,BILL WESLEY,STATE HOUSE,91,ENTERPRISE,1150.0
KENTUCKY,BILL WESLEY,STATE HOUSE,91,MEADES,751.36
KENTUCKY,BILL WESLEY,STATE HOUSE,91,MINUTE MAN PRESS,1068.33
KENTUCKY,BILL WESLEY,STATE HOUSE,91,ISSACCS,530.0
KENTUCKY,BILL WESLEY,STATE HOUSE,91,CITIZENS VOICETIMES,322.5
KENTUCKY,BILL WESLEY,STATE HOUSE,91,LOWES,262.69
KENTUCKY,BILL WESLEY,STATE HOUSE,91,ESTILL TRIBUNE,255.14999999999998
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,TRANSFER TO 2020 PRIMARY,31469.68
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,PNC BANK,25873.88
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,HURST CONSULTING,12500.0
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,FARLEY PRINTING,9152.07
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),5655.9
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,UNITEMIZED EXPENSE/UNKNOWN,3939.1800000000003
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,THE UPS STORE,3755.93
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,KYLE WEST,1200.0
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,COSTCO,1040.25
KENTUCKY,NIMA KULKARNI,STATE HOUSE,40,KY DEM HOUSE CAUCUS COMMITTEE,1000.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,EDWARD M. LOCKETT,STATE HOUSE,39,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,FIFTH THIRD BANK,99.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,SAGE PAYMENT SOLUTIONS (PAYA),20.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,REGINALD THOMAS,STATE SENATE,13,0,0.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,PAHS,21723.03
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,ALLEGRA,6869.4
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,FACEBOOK,5840.84
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,VIRGINIA WOODWARD,4400.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,MEYER CONSULTING,4300.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,UNITEMIZED EXPENSE/UNKNOWN,3058.0299999999997
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),2307.81
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,AUTHENTIC CAMPAIGNS,2300.0
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,FARLEY PRINTING,2155.78
KENTUCKY,TINA BOJANOWSKI,STATE HOUSE,32,NGP VAN,1200.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,UNITEMIZED EXPENSE/UNKNOWN,107863.63
KENTUCKY,DANNY CARROLL,STATE SENATE,2,BALANCE TRANSFER TO NEXT ELECTION,55525.92
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,DANNY CARROLL,STATE SENATE,2,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,STANLEY DEWAYNE JOHNSON,STATE HOUSE,13,0,0.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,GRIT CREATIVE,58240.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,NICK NASH,3000.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),1670.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,ANDREW HAMILTON,1000.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,MY CAMPAIGN STORE,916.68
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,BLUEGRASS INTEGRATED COMMUNICATIONS,826.8000000000001
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,VERSAILLES BREWING COMPANY,378.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,JACOB HOGAN,300.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,WILDSIDE WINERY,265.0
KENTUCKY,DANIEL A. FISTER,STATE HOUSE,56,VICKIE FISTER,264.58
KENTUCKY,SHANE BAKER,STATE HOUSE,85,LIBERTY CONSULTING SERVICES,7518.4
KENTUCKY,SHANE BAKER,STATE HOUSE,85,MAIL SOLUTIONS,4643.49
KENTUCKY,SHANE BAKER,STATE HOUSE,85,MY CAMPAIGN STORE,2876.16
KENTUCKY,SHANE BAKER,STATE HOUSE,85,PG TARGETING,1265.87
KENTUCKY,SHANE BAKER,STATE HOUSE,85,FACEBOOK,525.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,SAM MARTIN,400.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,SIGNS ON THE CHEAP,360.65
KENTUCKY,SHANE BAKER,STATE HOUSE,85,COMMONWEALTH JOURNAL,339.0
KENTUCKY,SHANE BAKER,STATE HOUSE,85,RAISE THE MONEY,336.25
KENTUCKY,SHANE BAKER,STATE HOUSE,85,HOLLY HILLS RETREAT,265.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,UNITEMIZED EXPENSE/UNKNOWN,54909.77
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,BALANCE TRANSFER TO NEXT ELECTION,46030.04
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,ALICE FORGY KERR,STATE SENATE,12,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,FIFTH THIRD BANK,25319.91
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,BALANCE TRANSFER TO NEXT ELECTION,23818.59
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,UNITEMIZED EXPENSE/UNKNOWN,216.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KIMBERLY PAIGE KING,STATE HOUSE,55,0,0.0
KENTUCKY,KAREN BERG,STATE SENATE,26,AL MEDIA (ADELSTEIN LISTON),136581.0
KENTUCKY,KAREN BERG,STATE SENATE,26,KENTUCKY DEMOCRATIC PARTY,17500.0
KENTUCKY,KAREN BERG,STATE SENATE,26,OSCAR HEITHAUS,6582.84
KENTUCKY,KAREN BERG,STATE SENATE,26,BETH THORPE,4000.0
KENTUCKY,KAREN BERG,STATE SENATE,26,HANAN BERGBROUSSEAU,4000.0
KENTUCKY,KAREN BERG,STATE SENATE,26,FACEBOOK,3982.09
KENTUCKY,KAREN BERG,STATE SENATE,26,MF STRATEGIES,3000.0
KENTUCKY,KAREN BERG,STATE SENATE,26,CONNOR OUCHI,3000.0
KENTUCKY,KAREN BERG,STATE SENATE,26,OUTPERFORM STRATEGIES,3000.0
KENTUCKY,KAREN BERG,STATE SENATE,26,UNITEMIZED EXPENSE/UNKNOWN,2424.15
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,CAMPAIGN FUND FOR DAVID GIVENS,133379.03
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,GRIT CREATIVE,23446.27
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,KENTUCKY HOUSE CAUCUS CAMPAIGN COMMITTEE,5000.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,TWISTED PINK FOUNDATION,1050.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,THE UPS STORE,593.92
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,3 PEAS IN A POD,550.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,GREEN COUNTY PARK BOARD (KENTUCKY),500.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,THE CITIZEN TIMES,390.5
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,LONGHUNTERS COFFEE AND TEA,356.0
KENTUCKY,DAVID P. GIVENS,STATE SENATE,9,GREENSBURG RECORD HERALD,286.0
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,GRIT CREATIVE,36733.68
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,ADAM KOENIG,32563.88
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,TRANSFER TO 2020,20706.66
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,UNITEMIZED EXPENSE/UNKNOWN,2131.63
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,KREF,200.0
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,THE UPS STORE,130.34
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,ANEDOT,61.879999999999995
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,0,0.0
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,0,0.0
KENTUCKY,ADAM KOENIG,STATE HOUSE,69,0,0.0
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,STRATEGIC IMPACT,99204.19
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,CENTRAL BANK,27173.11
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,THE PROSPER GROUP,12000.0
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,DEANNA FRAZIER,1745.01
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,MOTHER AND DAUGHTERS CATERING,1400.0
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,MINUTEMAN PRESS,407.40999999999997
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,THE UPS STORE,267.33000000000004
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,CHUCK WAGON,250.0
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,PHILLIP WHEELER FOR STATE SENATOR (KENTUCKY),200.0
KENTUCKY,DEANNA L. FRAZIER,STATE HOUSE,81,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),175.0
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,COMMITTEE TO ELECT JOHN C BLANTON STATE REPRESENTATIVE (KENTUCKY),17140.73
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,CASEBOLT MARKETING,16279.67
KENTUCKY,JOHN C. BLANTON,STATE HOUSE,92,GRIT CREATIVE,15821.54
