STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,SPECTRUM MARKETING,1311.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),665.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,KELLYSMITH PRINTING & PAPER,188.69
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,AARON J MCCANNELL PHOTOGRAPHY,150.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,ROLLING THUNDER EXPRESS,146.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,COREY DUPREY,50.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,ANEDOT,11.8
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,0,0.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,0,0.0
MAINE,AMANDA NOELLE COLLAMORE,STATE HOUSE,106,0,0.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,CRAIG HICKMAN,3859.67
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,APPLE,1370.45
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,BEST BUY,841.2099999999999
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,HOUSE DEMOCRATIC CAMPAIGN COMMITTEE (MAINE),500.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,BRUCE PELLETIER,400.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,CHARLOTTE WARREN,400.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,DONNA BAILEY,400.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,TIFFANY ROBERTS-LOVELL,400.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,WINTHROP AREA MINISTERIAL ASSOCIATION,300.0
MAINE,CRAIG V. HICKMAN,STATE SENATE,14,CENTER FOR GRIEVING CHILDREN,280.0
MAINE,POPPY ARFORD,STATE HOUSE,49,MAILINGS UNLIMITED,4507.33
MAINE,POPPY ARFORD,STATE HOUSE,49,FRAME MEDIA,2355.0
MAINE,POPPY ARFORD,STATE HOUSE,49,SUNSET SIGNS,1719.1100000000001
MAINE,POPPY ARFORD,STATE HOUSE,49,THE CRYER,1458.76
MAINE,POPPY ARFORD,STATE HOUSE,49,DALE RAND PRINTING,770.1500000000001
MAINE,POPPY ARFORD,STATE HOUSE,49,RADIO MIDCOAST WCME,736.0
MAINE,POPPY ARFORD,STATE HOUSE,49,FACEBOOK,721.52
MAINE,POPPY ARFORD,STATE HOUSE,49,MASTHEAD MAINE,389.25
MAINE,POPPY ARFORD,STATE HOUSE,49,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),309.6
MAINE,POPPY ARFORD,STATE HOUSE,49,GET THRU,305.9
MAINE,ANNE M. CARNEY,STATE SENATE,29,DALE RAND PRINTING,18434.170000000002
MAINE,ANNE M. CARNEY,STATE SENATE,29,MAILINGS UNLIMITED,16435.56
