STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,RACHEL JONES,STATE HOUSE,27B,0,0
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,AFFORDABLE A1 PRINTING,49725.85
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,RICE CONSULTING,6847.5
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,COMCAST,6500.0
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,EMPIRE GRAPHICS AND SIGNS,8895.9
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,FLYING ROBOTICS MARKETING AGENCY,2924.42
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,APG MEDIA OF CHESAPEAKE,2836.0
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,LOWES,2654.6900000000005
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,MARYLAND DEMOCRATIC STATE CENTRAL COMMITTEE OF,2500.0
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,VISTAPRINT,1567.3799999999999
MARYLAND,ARTHUR ELLIS,STATE SENATE,28,CARL JONES,1500.0
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,CREATIVE PRINT GROUP,26473.89
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,MOSAIC STRATEGIES GROUP,10515.15
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,TAMIKA WINKLER,5100.0
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,BLUE NATION STRATEGIES,4090.83
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,LINDWOODS CATERING,3592.0
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,RALCO PRODUCTS CO,3218.77
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,MARYLAND HOUSE DEMOCRATIC CAUCUS COMMITTEE,2500.0
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,ALLIANCE MAILING,2314.04
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,MCCRAY WINKLER STRAGIES,1500.0
MARYLAND,CHARLES E. SYDNOR,STATE SENATE,44,LEGISLATIVE BLACK CAUCUS,1500.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,THE STRATEGY GROUP,41136.3
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,SCREEN STRATEGIES MEDIA,20000.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,TARGETSMART COMMUNICATIONS,8000.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,FACEBOOK,6095.78
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),5887.1
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,FREDERICK DEMOCRATIC UNITY SLATE (MARYLAND),5000.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,WESTERN MARYLAND PROGRESSIVES SLATE,4100.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,MCKENNA MEDIA,3705.0
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,CUSTOM IMPRINTS,3363.42
MARYLAND,RONALD NELSON YOUNG,STATE SENATE,3,CREATIVE PRINT GROUP,2811.19
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,JACK BAILEY,STATE SENATE,29,0,0
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,RENEGADE,18765.02
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,CREATIVE PRINT GROUP,2019.6599999999999
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,NATIONBUILDER,1068.0
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,ANDRE CAWLEY,1015.0
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,HERMAN'S DISCOUNT STORE,863.9
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,UNITEMIZED EXPENSE/UNKNOWN,330.6
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,SQUARE,272.0
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,MARYLAND LEGISLATIVE BLACK CAUCUS OF,258.24
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,WEGMANS,256.93
MARYLAND,REGINA T. BOYCE,STATE HOUSE,43,STATION NORTH ARTS & ENTERTAINMENTNORTH AVENUE ARTS,250.0
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,BRYAN SIMONAIRE,63074.36
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,REPUBLICANS FOR THE FUTURE SLATE (MARYLAND),10500.0
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,MARYLAND SENATE REPUBLICAN CAUCUS COMMITTEE,9410.32
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,POST HASTE MAILINGS,5298.84
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,FRIENDS OF GRASSO JOHN,2000.0
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,NEIGHBORHOOD SIGNS AND STICKERS,1383.3
MARYLAND,BRYAN W. SIMONAIRE,STATE SENATE,31,RSCCAAC,1000.0
