STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
MICHIGAN,MARK TISDEL,STATE HOUSE,45,ASTRAEGIES,156679.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,STRATEGIC MEDIA PLACEMENT,10000.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,DOUG BOEHM,4500.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,UNITED STATES POSTOFFICE (MICHIGAN),3203.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,BOHEM,3000.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,FACEBOOK,2172.29
MICHIGAN,MARK TISDEL,STATE HOUSE,45,MASS MAILING,1998.41
MICHIGAN,MARK TISDEL,STATE HOUSE,45,GITEK,1643.0
MICHIGAN,MARK TISDEL,STATE HOUSE,45,ROMEO PRINTING,1469.67
MICHIGAN,MARK TISDEL,STATE HOUSE,45,HUCKPAC,1450.0
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,MI HOUSE DEMOCRATIC FUND (MICHIGAN),46975.0
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,KADREW PRINT & MAILING,10863.91
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,XTREME PRINTING,2087.56
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,GRAND BLANC HUNTSMAN'S CLUB,1982.5
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,THE ALLEN COMPANY,1401.65
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,HUSTLE,898.82
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,HOFFMAN'S DECO DELI,846.9399999999999
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,ZODA DESIGN,706.0
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,GENESEE COUNTY DEMOCRATIC PARTY (MICHIGAN),650.0
MICHIGAN,JOHN D. CHERRY,STATE HOUSE,49,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),612.5
MICHIGAN,ANDREW FINK,STATE HOUSE,58,ARROW SWIFT,27795.489999999998
MICHIGAN,ANDREW FINK,STATE HOUSE,58,JACOB HOOPER,8843.08
MICHIGAN,ANDREW FINK,STATE HOUSE,58,SON STANLEY SAWICKI &,6008.08
MICHIGAN,ANDREW FINK,STATE HOUSE,58,HOUSE REPUBLICAN CAMPAIGN (MICHIGAN),6000.0
MICHIGAN,ANDREW FINK,STATE HOUSE,58,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),3303.0
MICHIGAN,ANDREW FINK,STATE HOUSE,58,ANDREW FINK,2500.0
MICHIGAN,ANDREW FINK,STATE HOUSE,58,WTVB,1746.0
MICHIGAN,ANDREW FINK,STATE HOUSE,58,VICTORY PHONES,1553.09
