STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
MINNESOTA,JEN MCEWEN,STATE SENATE,7,JS PRINT GROUP,15198.11
MINNESOTA,JEN MCEWEN,STATE SENATE,7,KB6,9192.75
MINNESOTA,JEN MCEWEN,STATE SENATE,7,WDIO-TV,4292.5
MINNESOTA,JEN MCEWEN,STATE SENATE,7,SQUARE,3254.68
MINNESOTA,JEN MCEWEN,STATE SENATE,7,7TH SENATE DISTRICT DFL,2963.82
MINNESOTA,JEN MCEWEN,STATE SENATE,7,SIGN ROCKET,2912.3500000000004
MINNESOTA,JEN MCEWEN,STATE SENATE,7,OLD SAW MEDIA,2723.2
MINNESOTA,JEN MCEWEN,STATE SENATE,7,MIDWEST COMMUNICATIONS,2000.0
MINNESOTA,JEN MCEWEN,STATE SENATE,7,MN DFL SENATE CAUCUS,2000.0
MINNESOTA,JEN MCEWEN,STATE SENATE,7,DULUTH NEWS TRIBUNE,1600.0
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,FILLMORE COUNTY JOURNAL (MINNESOTA),13672.02
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),13357.029999999999
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,GREG DAVIDS,9820.86
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,RAPIT PRINTING,9095.75
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,RUSTAD BUILDING,5287.5
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,BLUFF COUNTRY NEWSPAPER GROUP,4961.25
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,SQUARE,3655.0
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,CALEDONIA ARGUS,3399.7000000000003
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,MIDWEST FAMILY RADIO,2752.0
MINNESOTA,GREGORY M. DAVIDS,STATE HOUSE,28B,JASON WENISCH,2075.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,MN DFL SENATE CAUCUS,20000.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,MARCUS BARONE,5750.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,IMPACT PRINTING,5294.52
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,DO-GOODBIZ,4718.849999999999
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,MINNEAPOLIS LABOR REVIEW,1653.63
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,MCCOOL DIGITAL,1500.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,ECM PUBLISHERS,1292.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,GARY W COHEN,889.24
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,AMERICAN JEWISH WORLD,856.0
MINNESOTA,RONALD STEVEN LATZ,STATE SENATE,46,MN DFL STATE CENTRAL COMMITTEE (MINNESOTA),600.0
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,DO GOOD BIZ,13604.480000000001
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,SEVEN CORNERS PRINTING,9947.900000000001
MINNESOTA,BRAD TABKE,STATE HOUSE,55A,FACEBOOK,9548.45
