STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,WESTERN NEBRASKA STRATEGIC CONSULTING,3500.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,DICKEY & ASSOCIATES,300.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,MORRILL COUNTY 4H (NEBRASKA),300.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,JOE VAN NEWKIRK,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE ERDMAN,STATE SENATE,47,0,0.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,PROVIDENT PROMO,3643.9399999999996
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,DREW BORSKE,1059.55
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,BRENDA BICKFORD FOR LEGISLATUR,1000.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,STATE OF NE (NEBRASKA),850.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,RAY AGUILAR FOR LEGISLATURE,750.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,FRIENDS OF JACOB CAMPBELL,500.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,HOLDCROFT FOR LEGISLATURE,500.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,LA GRONE FOR LEGISLATURE,500.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,ROGERS FOR LEGISLATURE,1000.0
NEBRASKA,STEVE HALLORAN,STATE SENATE,33,NE FEDERATION OF YOUNG REPUBLI,200.0
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,JVA CAMPAIGNS,87085.95999999999
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,CLARK CREATIVE GROUP,20614.0
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,STATHI PATSEAS,12250.0
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,UNIONIST PRINTING,10257.04
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,JOHN MCCOLLISTER,8563.3
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,DAN MCCOLLISTER,7360.26
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,BARNHART PRESS,6554.36
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,KRAMER CONSULTING,11412.6
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,CHISM STRATEGIES,5025.0
NEBRASKA,JOHN S. MCCOLLISTER,STATE SENATE,20,HOLLAND CHILDRENS MOVE,5000.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,RUSHMORE COMPANY,154248.97
NEBRASKA,BEN HANSEN,STATE SENATE,16,QUALITY PRESS PRINTING,18989.74
NEBRASKA,BEN HANSEN,STATE SENATE,16,NEGOP,10000.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,AXIOM STRATEGIES,6050.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,ENGAGE DATA,6000.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,SDP CREATIVE,4446.7
NEBRASKA,BEN HANSEN,STATE SENATE,16,CORNHUSKER CONSULTING GROUP,3399.9
NEBRASKA,BEN HANSEN,STATE SENATE,16,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),3159.71
NEBRASKA,BEN HANSEN,STATE SENATE,16,GOV RICKETTS INAUGURAL COMMITTEE,1050.0
NEBRASKA,BEN HANSEN,STATE SENATE,16,MIXING ROOM STUDIOS,796.73
NEBRASKA,RITA SANDERS,STATE SENATE,45,AXIMEDIA,60400.0
NEBRASKA,RITA SANDERS,STATE SENATE,45,AXIOM STRATEGIES,58982.46000000001
NEBRASKA,RITA SANDERS,STATE SENATE,45,JBEST & COMPANY,21989.27
NEBRASKA,RITA SANDERS,STATE SENATE,45,AXIOM STATEGIES (NEBRASKA),14114.0
NEBRASKA,RITA SANDERS,STATE SENATE,45,NANCY MCCABE,9000.0
NEBRASKA,RITA SANDERS,STATE SENATE,45,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),2478.49
NEBRASKA,RITA SANDERS,STATE SENATE,45,DESIGN4,3394.6800000000003
NEBRASKA,RITA SANDERS,STATE SENATE,45,TRIAL PUBLIC AFFAIRS,1750.0
NEBRASKA,RITA SANDERS,STATE SENATE,45,RITA SANDERS,1608.71
NEBRASKA,RITA SANDERS,STATE SENATE,45,BELLEVUE BERRY FARM,885.0
NEBRASKA,TONY VARGAS,STATE SENATE,7,WILDFIRE CONTACT,51559.21000000001
NEBRASKA,TONY VARGAS,STATE SENATE,7,MEG MANDY,17738.64
NEBRASKA,TONY VARGAS,STATE SENATE,7,JUSTIN KEMERLING DESIGN CO,8000.0
NEBRASKA,TONY VARGAS,STATE SENATE,7,HOTEL DECO,4718.88
NEBRASKA,TONY VARGAS,STATE SENATE,7,NATIONBUILDER,4588.8
NEBRASKA,TONY VARGAS,STATE SENATE,7,LE BOUILLON,3448.4700000000003
NEBRASKA,TONY VARGAS,STATE SENATE,7,NEWS CHANNEL NEBRASKA,3435.0
