STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,ANTHONY ALLISON,3772.21
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,MARGARET DIXON,1125.0
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,BEST BUY,1028.09
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,NMHDCC,1000.0
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,KIRTLAND STORAGE,630.0
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,DINE INTROSPECTIVE,350.0
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,DREAMHOST,613.76
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,NORTHERN NAVAJO FAIR BOARD,200.0
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,EMBASSY SUITES HOTLE,197.55
NEW MEXICO,ANTHONY ALLISON,STATE HOUSE,4,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),111.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,JUDY LEYBA,1200.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,SANTA FE COUNTY DEMOCRATIC PARTY (NEW MEXICO),950.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,UBREAKIFIX,304.07
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,LEAGUE OF WOMEN VOTERS,120.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,COMMITTEE TO ELECT WILLIE MADRID,100.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,NATIONAL HISPANIC CAUCUS OF STATE LEGISLATORS (NEW MEXICO),100.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,NM FEDERATION OF DEMOCRATIC WOMEN (NEW MEXICO),200.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,NM SECRETARY OF STATE (NEW MEXICO),76.62
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,0,0.0
NEW MEXICO,NANCY E. RODRIGUEZ,STATE SENATE,24,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,UNION COUNTY CLERK (NEW MEXICO),175.15
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,VISTAPRINT,40.65
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,BRENDA GRACE AGOYOTHÉ MCKENNA,STATE SENATE,9,0,0.0
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,NEW MEXICO HOUSE DEMOCRATIC CAMPAIGN COMMITTEE,10000.0
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,ISLETA GOLF COURSE,4811.74
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,MAIL QUICK,2822.43
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,GREETINGS ETC,2600.54
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,KIKO PRODUCTIONS,1155.3500000000001
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,COMMITTEE TO REELECT MIGUEL P GARCIA STATE REPRESENTATIVE (NEW MEXICO),500.0
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,ALL ABOUT TROPHIES,382.86
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,RAY LARA,250.0
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,COMMITTEE TO ELECT JOY GARRETT,250.0
NEW MEXICO,SHERYL M. WILLIAMS STAPLETON,STATE HOUSE,19,GOLF MART,210.4
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,BRIAN EGOLF SPEAKERS FUND,10000.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,PLANNED PARENTHOOD,5014.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,NEW MEXICO DEMOCRATIC HOUSE COMMITTEE,5000.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,NM HDCC,5000.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,CTE MELANIE STANSBURG,2500.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,STATE PRINTING (NEW MEXICO),1636.2
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,MATTHEW MCQUEEN,1000.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,COMMITTEE TO ELECT BILL PRATT,1000.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,COMMITTEE TO ELECT ANDREA ROMERO,1000.0
NEW MEXICO,JAVIER I. MARTíNEZ,STATE HOUSE,11,CTE WILLIE MADRID,750.0
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,KABZA,24719.08
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,CROSSTABS CONSULTING,8090.64
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,DON MICKEY DESIGNS,4321.4800000000005
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,PERICLES CONSULTING PARTNERS,3552.34
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,MORRIS STRATEGIES FOR NM,5767.19
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,GREETINGS ETC,2044.62
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,GBAO,1500.0
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,ESQUIVEL CONSULTING,1495.15
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,JONATHAN MUNIZ,850.0
NEW MEXICO,KATY M. DUHIGG,STATE SENATE,10,KATE THE PHOTOGRAPHER,733.55
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,COMMITTEE TO ELECT SHANNON PINTO,1000.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,ROBERTA SALAZAR-HENRY,800.63
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,CENTER OF SOUTHWEST CULTURE,250.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,NEW MEXICO HOUSE DEMOCRAT CAMPAIGN,100.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,CONNIE CHAPMAN,26.34
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,PIONEER BANK,25.35
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,ACTBLUE,14.040000000000001
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,0,0.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,0,0.0
NEW MEXICO,WILLIAM P. SOULES,STATE SENATE,37,0,0.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,HOUSE DEMOCRATIC CAMPAIGN COMMITTEE (NEW MEXICO),3500.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,VERIZON,1043.48
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,PPVNM CC,1000.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,CAPITAL ONE,969.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,WCCDG,700.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,WEST CENTRAL COMMUNITY DEVELOPMENT GROUP,500.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,AMERICAN COUNCIL OF YOUNG POLITICAL LEADERS,500.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,ROADRUNNER FOOD BANK,500.0
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,AMERICAN EXPRESS (AMEX),442.91
NEW MEXICO,GEORGENE LOUIS,STATE HOUSE,26,SOUTHWEST AIRLINES,425.17
NEW MEXICO,CLIFF R. PIRTLE,STATE SENATE,32,BACA FOR SENATE,5000.0
