STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,ADAM C. MILLER,STATE HOUSE,17,0,0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,GOOD GOVERNMENT GROUP,124579.01000000001
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,OHIO HOUSE DEMOCRATIC CAUCUS,59450.0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,OHIO DEMOCRATIC PARTY,53974.54
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,JM2,31655.05
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,TARGET SMART COMMUNICATIONS,18000.0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,HANNAH NABERHAUS,13000.0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,RICHARD ROSENTHAL,10000.0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),8001.82
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,PUTTING WOMEN IN THEIR PLACE,4700.0
OHIO,JESSICA E. MIRANDA,STATE HOUSE,28,HCDP,4500.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,OHIO HOUSE DEMOCRATIC CAUCUS,44900.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,TRIUMPH COMMUNICATIONS,20632.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,RT ADVISORS,12750.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,BRAINSTORM MEDIA,3117.5
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,JM2,2025.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,THE BLUE DEAL,1808.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,CUYAHOGA COUNTY DEMOCRATIC PARTY (OHIO),1500.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,JHSM HOLDINGS,1500.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,QWESTCOM,2436.0
OHIO,JEFFREY A. CROSSMAN,STATE HOUSE,15,KEYBANK,648.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,OHIO REPUBLICAN PARTY,120507.32
OHIO,PHIL PLUMMER,STATE HOUSE,40,2911 STRATEGIES,17000.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,FRIENDS OF SWEARINGEN,5000.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,WINTERSET CPA GROUP,4660.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,PJ PROMOTIONS,3993.63
OHIO,PHIL PLUMMER,STATE HOUSE,40,MONTGOMERY COUNTY GOP (OHIO),2500.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,TOWN MONEY SAVER,1045.0
OHIO,PHIL PLUMMER,STATE HOUSE,40,COLUMBUS ATHLETIC CLUB OF,870.52
OHIO,PHIL PLUMMER,STATE HOUSE,40,LITTLE MIAMI RIVER CATERING,684.98
OHIO,PHIL PLUMMER,STATE HOUSE,40,RAISE THE MONEY,664.03
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,OHIO DEMOCRATIC PARTY,15750.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,JM2,14614.470000000001
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,GEN MURPHY & ASSOCIATES,12440.1
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,DS POLITICAL,5750.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,MONTGOMERY COUNTY DMOCRATIC PARTY (OHIO),3500.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,ALPHA MEDIA DAYTON,3461.2
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,GENEVIEVE MURPHPY,3000.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,WDAO RADIO,1596.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,KEEP KEITH AUDITOR,1500.0
OHIO,WILLIS E. BLACKSHEAR,STATE HOUSE,39,PRO STAFF GRAPHICS,921.2800000000001
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,HOUSE REPUBLICAN CAMPAIGN CAUCUS (OHIO),50000.0
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,OHIO REPUBLICAN PARTY,23075.0
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,WINTERSET CPA GROUP,7980.0
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,BETH BIGHAM FOR OHIO HOUSE,4500.0
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,THE ATHLETIC CLUB OF COLUMBUS,3045.42
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,JAMES CONNERS,3000.0
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,VICTORY COMPANIES,2339.6699999999996
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,OLDE JAOL BREWING COMMITTEE,2293.1099999999997
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,FRIENDS OF SWEARINGEN,2000.0
OHIO,SCOTT S. WIGGAM,STATE HOUSE,1,SQUARE,1677.8300000000002
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,RSCC,95216.0
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,OHROC,40213.35
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,REPUBLICAN SENATE CAMPAIGN COMMITTEE (OHIO),20000.0
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,PCS MARKETING GROUP,5035.56
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,FRIENDS OF JOHN O'BRIEN,5000.0
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,VICTORIA HUEBNER,4722.200000000001
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,A M ADVISORS,3519.4
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,AMBER ROSE,2009.06
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,WESTERN OHIO GRAPHICS,847.32
OHIO,STEPHEN A. HUFFMAN,STATE SENATE,5,DUE AMICI,657.5
OHIO,RON FERGUSON,STATE HOUSE,96,PIERCE MEDIA,15295.0
OHIO,RON FERGUSON,STATE HOUSE,96,ORP-SCF,15000.0
OHIO,RON FERGUSON,STATE HOUSE,96,FRIENDS OF TONY MORELLI,7500.0
OHIO,RON FERGUSON,STATE HOUSE,96,FRIENDS TO ELECT ANDREW PLESICH,7500.0
OHIO,RON FERGUSON,STATE HOUSE,96,OHIO REPUBLICAN PARTY,6865.92
OHIO,RON FERGUSON,STATE HOUSE,96,MAILPRO1,5733.28
OHIO,RON FERGUSON,STATE HOUSE,96,I360,5169.96
OHIO,RON FERGUSON,STATE HOUSE,96,COOKE FOR OHIO,5000.0
OHIO,RON FERGUSON,STATE HOUSE,96,COMMITTEE TO ELECT BETH BIGHAM,5000.0
OHIO,RON FERGUSON,STATE HOUSE,96,FRIENDS OF SHAY HAWKINS,5000.0
OHIO,ALLISON RUSSO,STATE HOUSE,24,OHIO HOUSE DEMOCRATIC CAUCUS,58200.0
OHIO,ALLISON RUSSO,STATE HOUSE,24,JVA CAMPAIGNS,49222.72
OHIO,ALLISON RUSSO,STATE HOUSE,24,REDFERN + ROSSI,19500.0
OHIO,ALLISON RUSSO,STATE HOUSE,24,MYERS RESEARCH,13000.0
OHIO,ALLISON RUSSO,STATE HOUSE,24,MCTIGUE & COLOMBO,10823.48
OHIO,ALLISON RUSSO,STATE HOUSE,24,MOLLY SEGUIN,5865.710000000001
OHIO,ALLISON RUSSO,STATE HOUSE,24,NGP VAN,3695.59
OHIO,ALLISON RUSSO,STATE HOUSE,24,EDEN MCKISSICK-HAWLEY,3000.0
OHIO,ALLISON RUSSO,STATE HOUSE,24,FRANKLIN COUNTY DEMOCRATIC PARTY (OHIO),2500.0
OHIO,ALLISON RUSSO,STATE HOUSE,24,MADE FROM SCRATCH,2276.29
OHIO,GAYLE L. MANNING,STATE HOUSE,55,OHIO REPUBLICAN PARTY,188000.0
OHIO,GAYLE L. MANNING,STATE HOUSE,55,STRATEGIC MEDIA PLACEMENT,20000.0
OHIO,GAYLE L. MANNING,STATE HOUSE,55,RIGHT POINT DIRECT,18549.18
OHIO,GAYLE L. MANNING,STATE HOUSE,55,RIGHT POINT RESEARCH,4900.0
OHIO,GAYLE L. MANNING,STATE HOUSE,55,MARSHALL SUZANNE,4055.46
OHIO,GAYLE L. MANNING,STATE HOUSE,55,OSE TICKET OFFICE,3468.0
OHIO,GAYLE L. MANNING,STATE HOUSE,55,BOB O LINKS GOLF COURSE,3447.8900000000003
OHIO,GAYLE L. MANNING,STATE HOUSE,55,LAKE SCREEN PRINTING,3286.34
OHIO,GAYLE L. MANNING,STATE HOUSE,55,GAYLE MANNING,2815.0
OHIO,GAYLE L. MANNING,STATE HOUSE,55,BROTHERS PRINTING,2813.4
OHIO,RIORDAN T. MCCLAIN,STATE HOUSE,87,2B PRINTED,631.97
OHIO,RIORDAN T. MCCLAIN,STATE HOUSE,87,MCCLAIN RIORDAN,529.2
OHIO,RIORDAN T. MCCLAIN,STATE HOUSE,87,OHIO REPUBLICAN PARTY,655.0
OHIO,RIORDAN T. MCCLAIN,STATE HOUSE,87,THE ATHLETIC CLUB OF COLUMBUS,391.83
