STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
OREGON,JAMI J. CATE,STATE HOUSE,17,VB CONSULTING,88353.32999999999
OREGON,JAMI J. CATE,STATE HOUSE,17,JAMI CATE,10642.749999999998
OREGON,JAMI J. CATE,STATE HOUSE,17,BRIDGEVIEW PRESS,5155.0
OREGON,JAMI J. CATE,STATE HOUSE,17,SINCLAIR BROADCAST GROUP,4020.0
OREGON,JAMI J. CATE,STATE HOUSE,17,LORI PIERCY,3256.95
OREGON,JAMI J. CATE,STATE HOUSE,17,FACEBOOK,2859.95
OREGON,JAMI J. CATE,STATE HOUSE,17,COSTCO,2706.6
OREGON,JAMI J. CATE,STATE HOUSE,17,KGAL,2620.0
OREGON,JAMI J. CATE,STATE HOUSE,17,JAMES F WRIGHT,2300.0
OREGON,JAMI J. CATE,STATE HOUSE,17,UNITEMIZED EXPENSE/UNKNOWN,1868.3400000000001
OREGON,BRIAN L. CLEM,STATE HOUSE,21,FL CONSULTING,51700.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,"FUTURE PAC, HOUSE BUILDERS",35000.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,UNITEMIZED EXPENSE/UNKNOWN,4205.47
OREGON,BRIAN L. CLEM,STATE HOUSE,21,BRIDGETOWN PRINTING,2577.31
OREGON,BRIAN L. CLEM,STATE HOUSE,21,MANDATE MEDIA,2050.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,SECRETARY OF STATE (OREGON),1775.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,ARCHIVE COFFEE AND BAR,1759.5
OREGON,BRIAN L. CLEM,STATE HOUSE,21,SALEM KEIZER EDUCATION FOUNDATION,1750.0
OREGON,BRIAN L. CLEM,STATE HOUSE,21,LAY Z BOY,1523.99
OREGON,BRIAN L. CLEM,STATE HOUSE,21,PILOT TRAVEL CENTERS,1043.8400000000001
OREGON,FRED FRANK GIROD,STATE SENATE,9,LEADERSHIP FUND THE (2690),512000.0
OREGON,FRED FRANK GIROD,STATE SENATE,9,TIM KNOPP FOR STATE SENATE (15627) (OREGON),175000.0
OREGON,FRED FRANK GIROD,STATE SENATE,9,FRIENDS OF DENYC BOLES (18816),19000.0
OREGON,FRED FRANK GIROD,STATE SENATE,9,PIP COMMUNICATIONS,13896.3
OREGON,FRED FRANK GIROD,STATE SENATE,9,C & A CONSULTING,4938.9
OREGON,FRED FRANK GIROD,STATE SENATE,9,FRED GIROD,4216.87
OREGON,FRED FRANK GIROD,STATE SENATE,9,TSELI HOLDING,2031.33
OREGON,FRED FRANK GIROD,STATE SENATE,9,LINN COUNTY REPUBLICAN CENTRAL COMMITTEE (329) (OREGON),2000.0
OREGON,FRED FRANK GIROD,STATE SENATE,9,COSTCO,1559.39
OREGON,FRED FRANK GIROD,STATE SENATE,9,OREGON SECRETARY OF STATE ELECTIONS DIVISION,1500.0
OREGON,KATE BROWN,GOVERNOR,,BUYING TIME,7925622.0
OREGON,KATE BROWN,GOVERNOR,,RISING TIDE,1344804.31
OREGON,KATE BROWN,GOVERNOR,,DEMOCRATIC PARTY OF OREGON,1291000.0
OREGON,KATE BROWN,GOVERNOR,,TEAM OREGON (19420),1245000.0
OREGON,KATE BROWN,GOVERNOR,,OREGON SECRETARY OF STATE ELECTIONS DIVISION,1020006.0100000001
OREGON,KATE BROWN,GOVERNOR,,DEFEND OREGON,739000.0
OREGON,KATE BROWN,GOVERNOR,,MARK WINNING,387500.0
OREGON,KATE BROWN,GOVERNOR,,PRISM COMMUNICATIONS,320189.66000000003
OREGON,KATE BROWN,GOVERNOR,,RAPID RETURNS,302888.78
OREGON,KATE BROWN,GOVERNOR,,GBA STRATEGIES,253131.72
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,PELROY & ASSOCIATES,425567.07
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,PROMOTE OREGON LEADERSHIP PAC (682),8878.23
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,CLAY BEAUVAIS,6500.0
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,LORI PIERCY,5237.6
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,ASHLEY KUENZI,4960.04
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,HEALTHY COMMUNITY INITIATIVE,2087.4300000000003
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,UNITEMIZED EXPENSE/UNKNOWN,1571.57
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,KYLE YOCKEY,1245.0
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,ANEDOT,1035.8999999999999
OREGON,GERALD DUANE WRIGHT,STATE HOUSE,9,MAXWELL YOUNG,1005.0
OREGON,CEDRIC ROSS HAYDEN,STATE HOUSE,7,HAYDEN CEDRIC R,55000.0
OREGON,CEDRIC ROSS HAYDEN,STATE HOUSE,7,ALL 36 (18728),27745.0
OREGON,CEDRIC ROSS HAYDEN,STATE HOUSE,7,EVERGREEN OREGON PAC (20202),17500.0
OREGON,CEDRIC ROSS HAYDEN,STATE HOUSE,7,PIP COMMUNICATIONS,18268.46
