STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,COUNTERPOINT MESSAGING,53522.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,MARJORIE POMEROY-WALLACE,12400.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,KEN JOBE,10650.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,KATHY CHAMBERS,9060.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,CHANGE RESEARCH,5800.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,THE MEDIA SCIENTIST LABORATORIES,5000.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,STONES PHONES,4750.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,CUMULUS MEDIA,4465.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,GRINDSTONE RESEACH,3500.0
TENNESSEE,MICHAEL STEWART,STATE HOUSE,52,KRISTINE RICKARD,3120.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,DENVER T STEVENS CREATIVE,8140.120000000001
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,TN HOUSE REPUBLICAN CAUCUS (TENNESSEE),3000.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,SMOKY MOUNTAIN AIR CHARTER,2715.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,SEVIER COUNTY SCHOOL BOARD (TENNESSEE),2500.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,JOHN B HOLSCLAW,1500.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,UNITED SPECIALTY ADVERTISING,1397.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,EAST TENNESSEE CHILDRENS HOSPITAL,1250.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,WJFC RADIO,1200.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,NORTHVIEW ACADEMY,1100.0
TENNESSEE,ANDREW E. FARMER,STATE HOUSE,17,CHICK FIL A,1069.6599999999999
TENNESSEE,RON TRAVIS,STATE HOUSE,31,JERRY DUCAN FORD,14089.23
TENNESSEE,RON TRAVIS,STATE HOUSE,31,AVIS,11481.439999999999
TENNESSEE,RON TRAVIS,STATE HOUSE,31,ALLY BANK,6422.24
TENNESSEE,RON TRAVIS,STATE HOUSE,31,TENNESSEE REPUBLICAN PARTY,5000.0
TENNESSEE,RON TRAVIS,STATE HOUSE,31,WALMART,2703.9600000000005
TENNESSEE,RON TRAVIS,STATE HOUSE,31,RICHLAND WINE AND SPIRITS,2270.7799999999997
TENNESSEE,RON TRAVIS,STATE HOUSE,31,JIMMY KELLYS,2162.74
TENNESSEE,RON TRAVIS,STATE HOUSE,31,THE HENDERSON,1887.96
TENNESSEE,RON TRAVIS,STATE HOUSE,31,GRESCO,1850.0
TENNESSEE,RON TRAVIS,STATE HOUSE,31,VERIZON,1508.46
TENNESSEE,RUSTY CROWE,STATE SENATE,3,HONEY BAKED HAM,4163.6900000000005
TENNESSEE,RUSTY CROWE,STATE SENATE,3,HUMANE SOCIETY WASH COUNTY (TENNESSEE),1600.0
TENNESSEE,RUSTY CROWE,STATE SENATE,3,CRACKER BARREL,896.8800000000001
TENNESSEE,RUSTY CROWE,STATE SENATE,3,BEST BUY,865.02
TENNESSEE,RUSTY CROWE,STATE SENATE,3,AT&T,703.68
TENNESSEE,RUSTY CROWE,STATE SENATE,3,HOPE DAWN OF,620.0
