STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
TEXAS,TAN PARKER,STATE HOUSE,63,DEMOCRACY TOOLBOX,3000.0
TEXAS,TAN PARKER,STATE HOUSE,63,SHIRL TOWNSEND,2250.0
TEXAS,TAN PARKER,STATE HOUSE,63,SPARKLETTS & SIERRA SPRINGS,1650.0
TEXAS,TAN PARKER,STATE HOUSE,63,AMAZON,1432.8200000000002
TEXAS,TAN PARKER,STATE HOUSE,63,WILLIAMS LANETTA,1250.0
TEXAS,TAN PARKER,STATE HOUSE,63,COSTCO,1059.88
TEXAS,TAN PARKER,STATE HOUSE,63,COALITION FOR AGING LGBT,1000.0
TEXAS,TAN PARKER,STATE HOUSE,63,JOHN ROBINSON,750.0
TEXAS,TAN PARKER,STATE HOUSE,63,JL TURNER LEGAL ASSOCIATION FOUNDATION,650.0
TEXAS,TAN PARKER,STATE HOUSE,63,STATE BAR OF TEXAS,630.0
TEXAS,YVONNE DAVIS,STATE HOUSE,111,BILLIE TURNER,24200.0
TEXAS,YVONNE DAVIS,STATE HOUSE,111,FOOD GLORIOUS FOOD,16915.82
TEXAS,YVONNE DAVIS,STATE HOUSE,111,TEXAS HOUSE OF REPRESENTATIVES,10412.869999999999
TEXAS,YVONNE DAVIS,STATE HOUSE,111,PATRICK RUCKER,9500.0
TEXAS,YVONNE DAVIS,STATE HOUSE,111,CONSTANT CONTACT,6982.300000000001
TEXAS,YVONNE DAVIS,STATE HOUSE,111,AMBROSIO APARTMENTS,6544.0
TEXAS,YVONNE DAVIS,STATE HOUSE,111,LEGISLATIVE STUDY GROUP,5000.0
TEXAS,YVONNE DAVIS,STATE HOUSE,111,AKILAH BACY CAMPAIGN,5000.0
TEXAS,YVONNE DAVIS,STATE HOUSE,111,LAQUITTA SARAH DEMERCHANT CAMPAIGN,5000.0
TEXAS,YVONNE DAVIS,STATE HOUSE,111,SOUTHWEST PRINT AND COPY,3481.05
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,SANDY GOODWIN,64100.0
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CHASE,12909.519999999999
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,LINDA COLWELL,10500.0
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,SOUTHWEST AIRLINES,8107.269999999999
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,TAMME AURELI,4000.0
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,TIME WARNER,1531.9699999999998
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,AVIS,1182.4299999999998
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CORT FURNITURE RENTAL,1129.41
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CAPITOL GIFT SHOP,1088.2
TEXAS,JOHN T. SMITHEE,STATE HOUSE,86,CITY OF AUSTIN,1023.36
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),22186.940000000002
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,LAMAR WINDSOR SOUTH,9864.35
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,DANIEL MORALES,8058.0
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,ANTONIO FLORES,5060.0
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,TEXAS HDCC,5000.0
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,HOUSE DEMOCRATIC CAUCUS CAMPAIGN COMMITTEE (TEXAS),10000.0
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,CORAZON DE LA FRONTERA PAC,5000.0
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,TEXAS HOUSE DEMOCRATIC INCUMBENT FUND,5000.0
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,GOT PRINT,4262.76
TEXAS,OSCAR LONGORIA,STATE HOUSE,35,JOSE FLORES,3500.0
TEXAS,GREG BONNEN,STATE HOUSE,24,MURPHY NASICA,65728.56
TEXAS,GREG BONNEN,STATE HOUSE,24,FAY PICARD,33021.42
TEXAS,GREG BONNEN,STATE HOUSE,24,TEXAS HOUSE REPUBLICAN CAUCUS PAC,52275.270000000004
TEXAS,GREG BONNEN,STATE HOUSE,24,GALVESTON COUNTY REPUBLICAN PARTY (TEXAS),20300.0
TEXAS,GREG BONNEN,STATE HOUSE,24,SEVEN RENT,16054.4
TEXAS,GREG BONNEN,STATE HOUSE,24,READY GO SIGNS FRED TAYLOR,7729.56
TEXAS,GREG BONNEN,STATE HOUSE,24,DENNIS PAUL CAMPAIGN,5000.0
TEXAS,GREG BONNEN,STATE HOUSE,24,CATCH DIGITAL STRATEGY,5000.0
TEXAS,GREG BONNEN,STATE HOUSE,24,RONALD BLUE & CO,5000.0
TEXAS,GREG BONNEN,STATE HOUSE,24,JUSTIN TILL,4865.0
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,AMLI DOWNTOWN,56878.45999999999
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,LEADING TEXAS FORWARD PAC,25000.0
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,TOYOTA FINANCIAL SERVICES,10203.879999999997
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,AVIS,10000.0
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,SQUARE,5748.55
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,MARGO CARDWELL,5000.0
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,CAPITAL ONE,3590.28
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,CHASE,3488.6500000000005
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,AT&T,3072.75
TEXAS,JOHN M. FRULLO,STATE HOUSE,84,THE WHAT'S UP PROGRAM,2500.0
TEXAS,TONI ROSE,STATE HOUSE,110,ELEVEN BY WINDSOR,17194.84
TEXAS,TONI ROSE,STATE HOUSE,110,GM FINANCIAL,9995.18
TEXAS,TONI ROSE,STATE HOUSE,110,ALLY,8291.25
TEXAS,TONI ROSE,STATE HOUSE,110,WALMART,7669.87
TEXAS,TONI ROSE,STATE HOUSE,110,YD & ASSOCIATES,5000.0
TEXAS,TONI ROSE,STATE HOUSE,110,SOUTHWEST PRINTING,4660.18
TEXAS,TONI ROSE,STATE HOUSE,110,MARRIOTT HOTELS,4217.1100000000015
TEXAS,TONI ROSE,STATE HOUSE,110,AT&T,3818.11
TEXAS,TONI ROSE,STATE HOUSE,110,SAFECO INSURANCE,3353.9999999999995
TEXAS,TONI ROSE,STATE HOUSE,110,SPECTRUM MARKETING,3278.07
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,JAKE K. ELLZEY,STATE HOUSE,10,0,0.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,AMERICAN EXPRESS (AMEX),191612.53999999998
TEXAS,CHRIS TURNER,STATE HOUSE,101,TEXAS HOUSE DEMOCRATIC CAMPAIGN COMMITTEE,187000.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,MEGAN RODMAN,65000.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,TEXAS VALUES IN ACTION COALITION,50000.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,BRAZIL & DUNN LLP,47500.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,EMILY AMPS,33075.380000000005
TEXAS,CHRIS TURNER,STATE HOUSE,101,RHETTA BOWERS CAMPAIGN,23500.0
TEXAS,CHRIS TURNER,STATE HOUSE,101,MICHELLE BECKLEY CAMPAIGN,19000.0
