STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
UTAH,BRAD WILSON,STATE HOUSE,15,WILSON BRAD,118338.73
UTAH,BRAD WILSON,STATE HOUSE,15,BALANCE TRANSFER TO NEXT ELECTION,118338.73
UTAH,BRAD WILSON,STATE HOUSE,15,UTAH HOUSE REPUBLICAN ELECTION COMMITTEE,10000.0
UTAH,BRAD WILSON,STATE HOUSE,15,G2 CONSULTING,9979.15
UTAH,BRAD WILSON,STATE HOUSE,15,UTAH ASSOCIATION OF REALTORS,8000.0
UTAH,BRAD WILSON,STATE HOUSE,15,GATHERING,7500.0
UTAH,BRAD WILSON,STATE HOUSE,15,ELECTION HIVE,7255.72
UTAH,BRAD WILSON,STATE HOUSE,15,AVIS,6000.0
UTAH,BRAD WILSON,STATE HOUSE,15,A SCOTT ANDERSON,5700.0
UTAH,BRAD WILSON,STATE HOUSE,15,UCUPAC,5000.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,BCR POLITICAL,4594.9
UTAH,ADAM ROBERTSON,STATE HOUSE,63,UTAH ASSOCIATION OF REALTORS,1500.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,REAGAN OUTDOOR ADVERTISING,700.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,FRIENDS OF ART WORKS FOR KIDS,500.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,COMCAST,500.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,THE BOEING COMPANY PAC,500.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,MICRON TECHNOLOGIES,500.0
UTAH,ADAM ROBERTSON,STATE HOUSE,63,ADAM ROBERTSON,494.89
UTAH,ADAM ROBERTSON,STATE HOUSE,63,BALANCE TRANSFER TO NEXT ELECTION,494.89
UTAH,ADAM ROBERTSON,STATE HOUSE,63,UTAH MEDICAL POLITICAL ACTION COMMITTEE UMPAC,375.0
UTAH,SPENCER J. COX,GOVERNOR,,FLUID ADVERTISING,1787506.69
UTAH,SPENCER J. COX,GOVERNOR,,SPENCER COX,896155.78
UTAH,SPENCER J. COX,GOVERNOR,,BALANCE TRANSFER TO NEXT ELECTION,891010.77
UTAH,SPENCER J. COX,GOVERNOR,,REPUBLICAN GOVERNORS ASSOCIATION,200000.0
UTAH,SPENCER J. COX,GOVERNOR,,OVIL EVENTS,192251.71
UTAH,SPENCER J. COX,GOVERNOR,,Y2 ANALYTICS,158667.5
UTAH,SPENCER J. COX,GOVERNOR,,REPUBLICAN STATE LEADERSHIP COMMITTEE (UTAH),140000.0
UTAH,SPENCER J. COX,GOVERNOR,,UTAH ASSOCIATION OF REALTORS,127500.0
UTAH,SPENCER J. COX,GOVERNOR,,GAIL MILLER,105000.0
UTAH,SPENCER J. COX,GOVERNOR,,INTERNAL REVENUE SERVICE (IRS),101026.92
UTAH,ANGELA ROMERO,STATE HOUSE,26,BALANCE TRANSFER TO NEXT ELECTION,11553.33
UTAH,ANGELA ROMERO,STATE HOUSE,26,ANGELA ROMERO,11553.33
UTAH,ANGELA ROMERO,STATE HOUSE,26,UTAH STATE DEMOCRATIC PARTY,1200.0
UTAH,ANGELA ROMERO,STATE HOUSE,26,UTAH RESTAURANT ASSOCIATION,1173.76
UTAH,ANGELA ROMERO,STATE HOUSE,26,RICHARD JARAMILLO,1050.0
UTAH,ANGELA ROMERO,STATE HOUSE,26,UTAH ASSOCIATION FOR JUSTICE PAC,1000.0
UTAH,ANGELA ROMERO,STATE HOUSE,26,COMCAST,1000.0
UTAH,ANGELA ROMERO,STATE HOUSE,26,NATIONAL HISPANIC CAUCUS OF STATE LEGISLATORS (UTAH),915.0
UTAH,ANGELA ROMERO,STATE HOUSE,26,THIRD HOUSE,800.0
UTAH,ANGELA ROMERO,STATE HOUSE,26,EQUALITY UTAH,756.25
UTAH,STEVE WALDRIP,STATE HOUSE,8,ELECTION HIVE,16512.510000000002
UTAH,STEVE WALDRIP,STATE HOUSE,8,STEVE WALDRIP,8612.29
UTAH,STEVE WALDRIP,STATE HOUSE,8,UTAH ASSOCIATION OF REALTORS,8301.8
UTAH,STEVE WALDRIP,STATE HOUSE,8,A STEPHEN WALDRIP,6000.0
UTAH,STEVE WALDRIP,STATE HOUSE,8,UTAH HOUSE REPUBLICAN COMMITTEE PAC,5500.0
UTAH,STEVE WALDRIP,STATE HOUSE,8,BALANCE TRANSFER TO NEXT ELECTION,4728.54
UTAH,STEVE WALDRIP,STATE HOUSE,8,NORTHERN UTAH LEGISLATIVE PAC,4500.0
UTAH,STEVE WALDRIP,STATE HOUSE,8,GATHER,4200.0
UTAH,STEVE WALDRIP,STATE HOUSE,8,THE POLITICAL GROUP,3889.24
UTAH,STEVE WALDRIP,STATE HOUSE,8,GOLDEN SPIKE EVENTS CENTER,3633.75
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,UTAH REPUBLICAN PARTY,12450.85
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,UTAH ASSOCIATION OF REALTORS,6112.0599999999995
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,SMITH'S FOOD AND DRUG,5975.69
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,NORTHERN UTAH LEGISLATIVE PAC,5000.0
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,LISONBEE KARIANNE,6254.719999999999
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,BALANCE TRANSFER TO NEXT ELECTION,4271.38
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,SALT LAKE MAILING,2711.08
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,UTAH HOUSE REPUBLICAN ELECTION COMMITTEE PAC,2000.0
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,WILSON LEADERSHIP PAC,2000.0
UTAH,KARIANNE LISONBEE,STATE HOUSE,14,ENTERTAINMENT SOFTWARE ASSOCIATION,1750.0
UTAH,WALT BROOKS,STATE HOUSE,75,BALANCE TRANSFER TO NEXT ELECTION,2596.92
UTAH,WALT BROOKS,STATE HOUSE,75,BROOKS WALTER,2596.92
UTAH,WALT BROOKS,STATE HOUSE,75,DELTA AIRLINES,1583.0
UTAH,WALT BROOKS,STATE HOUSE,75,WASHINGTON COUNTY REPUBLICAN PARTY (UTAH),1500.0
UTAH,WALT BROOKS,STATE HOUSE,75,UTAH ASSOCIATION OF REALTORS,1500.0
UTAH,WALT BROOKS,STATE HOUSE,75,UP RAILROAD COMPANY,1000.0
UTAH,WALT BROOKS,STATE HOUSE,75,COMCAST,1000.0
UTAH,WALT BROOKS,STATE HOUSE,75,PACIFICCORP,1000.0
UTAH,WALT BROOKS,STATE HOUSE,75,SHUTTERFLY,880.75
UTAH,WALT BROOKS,STATE HOUSE,75,DISCOUNT MUGS,872.1
UTAH,DANIEL W. THATCHER,STATE SENATE,12,BALANCE TRANSFER TO NEXT ELECTION,19180.26
UTAH,DANIEL W. THATCHER,STATE SENATE,12,DANIEL THATCHER,19180.26
UTAH,DANIEL W. THATCHER,STATE SENATE,12,REPUBLICAN SENATE CAMPAIGN COMMITTEE (UTAH),13500.0
UTAH,DANIEL W. THATCHER,STATE SENATE,12,UTAH GOP,7093.04
UTAH,DANIEL W. THATCHER,STATE SENATE,12,TOOELE TRANSCRIPT BULLETIN,3755.0
UTAH,DANIEL W. THATCHER,STATE SENATE,12,ENERGY SOLUTIONS,3300.0
UTAH,DANIEL W. THATCHER,STATE SENATE,12,UTAH ASSOCIATION OF REALTORS,2700.0
UTAH,DANIEL W. THATCHER,STATE SENATE,12,FACEBOOK,2192.6800000000003
UTAH,DANIEL W. THATCHER,STATE SENATE,12,REAGAN OUTDOOR ADVERTISING,2000.0
UTAH,DANIEL W. THATCHER,STATE SENATE,12,FRIENDS OF ANN MILLNER,2000.0
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,ELECTION HIVE,15655.28
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,UTAH HOUSE REPUBLICAN ELECTION COMMITTEE PAC,12000.0
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,STEPHEN CHRISTIANSEN,20911.48
UTAH,STEVE CHRISTIANSEN,STATE HOUSE,47,VERSA PRESS,9552.35
