STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,NOAH DETZER,3500.0
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,FIRST STEP PRINT SHOP,3118.7299999999996
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),1613.6
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,FRONT PORCH FORUM,1035.0
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,NATHANIEL KEMP,1000.0
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,MINUTEMAN PRESS,756.3
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,ACTBLUE,378.07000000000005
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,GOOD CRAFT,332.45
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,VERMONT PROGRESSIVE PARTY,300.0
VERMONT,TANYA VYHOVSKY,STATE HOUSE,CHITTENDEN-8-1,BECKETT MAILING SERVICES,197.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,THE MEMPHREMAGOG PRESS,5457.599999999999
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,VERMONT BROADCAST ASSOCIATES,4662.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,THE CHRONICLE,2193.75
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,NEWPORT DAILY EXPRESS,2048.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,CALEDONIA RECORD,1979.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,THE NEWS AND SENTINEL,1770.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,VERMONT PIE PASTA COMPANY,1507.13
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,NEWPORT DISPATCH,200.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,JOSH OLNEY GOLF SHOP,100.0
VERMONT,RUSS INGALLS,STATE SENATE,ESSEX-ORLEANS,OCBR,100.0
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,EMMONS ALICE MARIE,985.45
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),985.45
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,RED HOUSE PRESS,347.95
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,SUPER CHEAP SIGNS,302.5
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,VDHC,250.0
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,VERMONT DEMOCRATIC PARTY,200.0
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,STAPLES,38.99
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,SPRINGFIELD DEMOCRATIC TOWN COMMITTEE (VERMONT),25.0
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,0,0.0
VERMONT,ALICE M. EMMONS,STATE HOUSE,WINDSOR-3-2,0,0.0
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,VERMONT JOURNAL,1200.0
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,DOOLITTLE'S COPY PRINT,661.5
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,108578,40.0
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,TOWN OF CAVENDISH,13.75
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),10.86
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,0,0.0
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,0,0.0
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,0,0.0
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,0,0.0
VERMONT,JOHN ARRISON,STATE HOUSE,WINDSOR-2,0,0.0
VERMONT,PHILLIP B. SCOTT,GOVERNOR,,OPTIMUS CONSULTING,169550.0
VERMONT,PHILLIP B. SCOTT,GOVERNOR,,OPTIMUS ANALYTICS,53500.0
VERMONT,PHILLIP B. SCOTT,GOVERNOR,,JASON MAULUCCI,13482.41
VERMONT,PHILLIP B. SCOTT,GOVERNOR,,JET SERVICE ENVELOPE COMPANY,12147.05
VERMONT,PHILLIP B. SCOTT,GOVERNOR,,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),9423.59
