STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,HOUSE DEMOCRATIC CAUCUS (VIRGINIA),182450.0
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,SB DIGITAL,25457.3
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,JOANN SARIDAKIS,15055.51
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,DEMOCRATIC PARTY OF VIRGINIA,8495.0
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,GUMBINNER & DAVIES,6930.63
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,WALMART,6630.42
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,RODRIGO VELASQUEZ,5700.0
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,NGP VAN,5120.0
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,ACTBLUE,3644.87
VIRGINIA,KATHY KL TRAN,STATE HOUSE,42,PUBLIC POLICY POLLING,3000.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,VIRGINIA HOUSE DEMOCRATIC CAUCUS,34900.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,APPOMATTOX IRON WORKS,9320.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,CHRISTOPHER ATKINS,7000.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,NANCY GUY FOR DELEGATE,6000.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,MARTHA MUGLER FOR DELEGATE,6000.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,DEMOCRATIC PARTY OF VIRGINIA,5000.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,LEN MEYERS FOR DELEGATE,5000.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,VIRGINIA PHIL FOR,5000.0
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,ENTERPRISE,4031.96
VIRGINIA,LASHRECSE D. AIRD,STATE HOUSE,63,SAM'S CLUB,2547.23
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,HOUSE DEMOCRATIC CAUCUS (VIRGINIA),15000.0
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,DEMOCRATIC PARTY OF VIRGINIA,1133.0
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,CONSTANT CONTACT,1036.0
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,NORFOLK STATE UNIVERSITY FOUNDATION (VIRGINIA),760.0
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,NAACP CHESAPEAKE,720.0
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,EAST SIDE PIZZA,684.8300000000002
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,J2 GLOBAL,653.51
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,MOUNT LEBANON BAPTIST CHURCH,650.0
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,IPOWER,641.68
VIRGINIA,C. E. CLIFF HAYES,STATE HOUSE,77,ADOBE,624.95
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,HALA SOPHIA AYALA,STATE HOUSE,51,0,0.0
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,VIRGINIA HOUSE DEMOCRATIC CAUCUS,91000.0
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,ZACHARY RICKARD,29833.52
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,BRYAN WALSH,15435.48
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,MUNA YIMAM,8832.81
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,LYDIAROSE KESICH,6152.55
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,NGP VAN,6150.0
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,ADOBE,3543.23
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,ACTBLUE,1470.01
VIRGINIA,CHARNIELE L. HERRING,STATE HOUSE,46,TIA BANKS,834.45
