STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,JOHN BRAUN FOR STATE SENATE SURPLUS ACCOUNT (WASHINGTON),288859.86
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,ELECT NORTHWEST,2010.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,UNITEMIZED EXPENSE/UNKNOWN,647.5799999999999
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,DEMOCRACY ENGINE,367.71
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,JOHNSON MARY,226.2
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,UNITEMIZED EXPENSE/UNKNOWN,175.07999999999998
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),92.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,0,0.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,0,0.0
WASHINGTON,JOHN E. BRAUN,STATE SENATE,20,0,0.0
WASHINGTON,DEREK STANFORD,STATE SENATE,1,DEREK STANFORD SURPLUS FUND ACCOUNT,85375.75
WASHINGTON,DEREK STANFORD,STATE SENATE,1,WINPOWER STRATEGIES,5645.0
WASHINGTON,DEREK STANFORD,STATE SENATE,1,FRIENDS OF DEREK STANFORD 2020 CAMPAIGN,3864.42
WASHINGTON,DEREK STANFORD,STATE SENATE,1,AARON ZEITLIN,2000.0
WASHINGTON,DEREK STANFORD,STATE SENATE,1,IBUYPOWER,1519.13
WASHINGTON,DEREK STANFORD,STATE SENATE,1,UNITEMIZED EXPENSE/UNKNOWN,1479.38
WASHINGTON,DEREK STANFORD,STATE SENATE,1,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),1082.8
WASHINGTON,DEREK STANFORD,STATE SENATE,1,AT&T,717.59
WASHINGTON,DEREK STANFORD,STATE SENATE,1,ANEDOT,582.3800000000001
WASHINGTON,DEREK STANFORD,STATE SENATE,1,FEDERAL EXPRESS (FEDEX),534.89
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,CABELA'S VISA,95455.29
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,DAVE'S CAMPAIGN AND BUSINESS SOLUTIONS,52986.06000000001
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,PHILIP D FORTUNATO,19012.12
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,DEI CONSULTING,15564.0
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,PRINT NW,15463.640000000001
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,ELECT NORTHWEST,4300.0
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,CLYDE HOLLAND,4000.0
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,SCHNEIDER FAMILY HOMES,4000.0
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,HOLLAND PARTNER GROUP OPERATIONS,4000.0
WASHINGTON,PHIL FORTUNATO,STATE SENATE,31,WILCOR GROUP,4000.0
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,CD STRATEGIC,33686.18
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,UPPER LEFT STRATEGIES,26941.309999999998
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,KATHERINE BOBMAN CONSULTING,12051.25
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,INDIE GENIUS MEDIA,3250.0
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,NGP VAN,3075.75
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,FIRST DATA,3069.3199999999997
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,GETTHRU,2641.04
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,TAYLOR ABBOT,2564.25
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,JACOB SCHAMEL,2000.0
WASHINGTON,DAVID HACKNEY,STATE HOUSE,11 POSITION 1,ABRACADABRA PRINTING,1917.9499999999998
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,ARGO STRATEGIES,179927.17
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,RAVENNA STRATEGIES,71000.0
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,SUREPAYROLL,38551.969999999994
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,ALVERTUNE THIRTYTHREE,28699.980000000003
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,STONES' PHONES,9731.44
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,PARAGON SOLUTIONS,9086.33
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,WA STATE DEMOCRATS (WASHINGTON),7935.280000000001
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,ACTBLUE,5383.949999999999
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,LIZ BERRY SURPLUS FUNDS ACCOUNT,4500.0
WASHINGTON,LIZ BERRY,STATE HOUSE,36 POSITION 2,NGP VAN,3571.65
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,MOXIE MEDIA,76144.58
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,TARRA SIMMONS SURPLUS FUND,41324.89
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,KATHERINE BOBMAN CONSULTING,28868.510000000002
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,CAPITOL CITY PRESS,24505.27
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,PHILLIPS,19998.859999999997
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,JEFF BEAULAC,15468.45
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,NGP VAN,14884.53
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,UNITEMIZED EXPENSE/UNKNOWN,6404.1
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,FIRST DATA,5624.1
WASHINGTON,TARRA SIMMONS,STATE HOUSE,23 POSITION 1,DARCI LARSEN,4000.0
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,CERILLION N4 PARTNERS,225685.0
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,UNITEMIZED EXPENSE/UNKNOWN,52190.939999999995
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,SUREPAYROLL,30177.55
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,CAPITOL CITY PRESS,6869.83
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,ALICIA RULE SURPLUS FUNDS ACCOUNT,5000.0
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,THEA MCAFEE,4395.0
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,OVERNIGHT PRINTING,4195.6
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,ARGO STRATEGIES,3650.0
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,ACTBLUE,3390.78
WASHINGTON,ALICIA RULE,STATE HOUSE,42 POSITION 1,AMAZON,2136.48
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,STEVE THARINGER SURPLUS FUNDS ACCOUNT,110114.95
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,WINPOWER STRATEGIES,14933.17
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,ARGO STRATEGIES,7440.0
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,CAPITOL CITY PRESS,5827.21
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,INTEGRATED SOLUTIONS POLITICAL,2850.0
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,UNITEMIZED EXPENSE/UNKNOWN,1694.21
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,SOUND PUBLISHING,1009.5
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,IS POLITICAL INC,535.71
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,JODESHA BROADCASTING,500.0
WASHINGTON,STEVE THARINGER,STATE HOUSE,24 POSITION 2,THE STATION,310.65
WASHINGTON,MARKO LIIAS,STATE SENATE,21,ADVOX MARKETING,115000.0
WASHINGTON,MARKO LIIAS,STATE SENATE,21,NEW BLUE INTERACTIVE,66205.0
WASHINGTON,MARKO LIIAS,STATE SENATE,21,BLUE WAVE POLITICAL PARTNERS,36164.33
WASHINGTON,MARKO LIIAS,STATE SENATE,21,NICK JUNO,26058.239999999994
WASHINGTON,MARKO LIIAS,STATE SENATE,21,NORTHWEST PASSAGE CONSULTING (NWP),20128.4
WASHINGTON,MARKO LIIAS,STATE SENATE,21,NGP VAN,14868.25
WASHINGTON,MARKO LIIAS,STATE SENATE,21,MARKO FOR WASHINGTON,11336.67
WASHINGTON,MARKO LIIAS,STATE SENATE,21,THE STATION,11160.17
WASHINGTON,MARKO LIIAS,STATE SENATE,21,GETTHRU,9662.08
WASHINGTON,MARKO LIIAS,STATE SENATE,21,KULLY STRUBLE,6890.0
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,SHELL,121075.64000000001
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,THE ROC FOUNDATION,41000.0
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,STEPHEN H OSWIN CPA PS,18241.74
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,WALT'S MAILING SERVICE,16319.789999999999
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,THE NORTH CREEK LAW FIRM,5000.0
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,PRESS CATS,3361.9700000000003
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,THE MINER,2785.1
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,STATESMANEXAMINER (WASHINGTON),2759.8900000000003
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,OSWIN STEPHEN H MR,1580.0
WASHINGTON,SHELLY ANNE SHORT,STATE SENATE,7,THE CHRONICLE,1280.8400000000001
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,COMMITTEE TO ELECT SHARON WYLIE SURPLUS,41749.47
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,LINDA MCLAIN,9500.0
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,PACIFICA LAW GROUP,5734.0
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,THE COUVE GROUP,4047.7200000000003
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,COLUMBIA LITHO,3924.08
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,VALO CONSULTING,3528.74
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,IRON GATE STORAGE,2685.0
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,ADCO,1430.88
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,UNITEMIZED EXPENSE/UNKNOWN,1111.4800000000002
WASHINGTON,SHARON L. WYLIE,STATE HOUSE,49 POSITION 1,UNITEMIZED EXPENSE/UNKNOWN,805.29
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,HOUSE DEMO CAMP COMMITTEE,50000.0
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,SUREPAYROLL,35617.240000000005
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,FRIENDS OF DREW HANSEN,31502.569999999996
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,FMG,9526.91
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,ARGO STRATEGIES,7244.85
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,ANEDOT,6830.9800000000005
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,MASSIVE DESIGNS,6709.0
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,STRIPE,4120.52
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE (WSDCC),3936.25
WASHINGTON,DREW HANSEN,STATE HOUSE,23 POSITION 2,INTEGRATED SOLUTIONS POLITICAL,2646.77
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,CUE11,43527.79
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,WALT'S MAILING,26310.25
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,UNITEMIZED EXPENSE/UNKNOWN,5000.0
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,ACTION SOLUTIONS,1675.55
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,RIVER MARKETING,1662.29
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,SECURE IT SELF STORAGE,1440.0
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,BEST BUY,871.19
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,WA SECRETARY OF STATE (WASHINGTON),527.66
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,JAMES M VOLZ,374.0
WASHINGTON,MIKE VOLZ,STATE HOUSE,6 POSITION 1,UNITEMIZED EXPENSE/UNKNOWN,180.05
