STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,SPECTRUM MARKETING,17391.190000000002
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,UNITEMIZED EXPENSE/UNKNOWN,6750.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,MOUNTAINEER NEWSPAPERS,3176.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,AJG CORPORTION,2700.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,LAMAR,1960.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,JESSE BRAKE,1599.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,AMY SUMMERS,1508.95
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,CONCEPTS,530.63
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,TAYLOR COUNTY PROJECT HOP2E (WEST VIRGINIA),500.0
WEST VIRGINIA,AMY MARGARET SUMMERS,STATE HOUSE,49,WEST VIRGINIANS FOR LIFE,450.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,JOHN KELLY,14135.91
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,RESULTS RADIO,7446.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,SW RESOURCES,6082.01
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,ACQUIRE DIGITAL,2500.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,UNITEMIZED EXPENSE/UNKNOWN,1420.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,I HEART MEDIA,1356.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,SHIRT TALES,679.45
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,WVRLC,500.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,DAN A MARSHALL (STORAGE RENTALS),480.0
WEST VIRGINIA,JOHN R. KELLY,STATE HOUSE,10,SEVEN RASNGES RADIO,375.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,THE PRINTING EXPRESS,6052.18
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,FACEBOOK,1574.12
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,QH DESIGN,1130.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,THE MOOREFIELD EXAMINER,516.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,THE PENDLETON TIMES,317.68
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,STONEWALL RESORT,138.98
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,WV SECRETARY OF STATE'S OFFICE (WEST VIRGINIA),100.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),4.19
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,0,0.0
WEST VIRGINIA,BRYAN C. WARD,STATE HOUSE,55,0,0.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,MISSION CONTROL,64779.44
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,BOUCHARD GOLD COMMUNICATIONS,33338.3
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,ALICIA SPEEDY,10500.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,PATRIOTIC PROMOTIONS,5536.5199999999995
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,PLANTE & ASSOCIATES,3600.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,JONES PRINTING COMPANY,2086.5
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,INSIDE OUR CREATIVE,1772.85
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,84 AGENCY,1284.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,FACEBOOK,850.0
WEST VIRGINIA,RICHARD DAVID LINDSAY,STATE SENATE,8,T GRAPHICS,715.62
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOSEPH D. JEFFRIES,STATE HOUSE,22,0,0.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,JOE ELLINGTON,24264.06
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,LINK MEDIA OUTDOOR,9920.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,WEST VIRGINIA REPUBLICAN LEGISLATIVE COMMITTEE,3000.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,L&P BROADCASTING,2432.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,CAROL MILLER,1000.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,MAC WARNER,500.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,MERCER COUNTY REPUBLICAN EXECUTIVE COMMITTEE (WEST VIRGINIA),500.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,RILEY MOORE,500.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,LAMAR,167.0
WEST VIRGINIA,JOE C. ELLINGTON,STATE HOUSE,27,WEST VIRGINIA SECRETARY OF STATE,100.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,PCS MARKETING GROUP,2169.9
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,VALPAK,600.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,CAMPAIGNPARTNER,305.03999999999996
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,SEC OF STATE (WEST VIRGINIA),100.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,STRIPE,12.2
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,DON FORSHT,STATE HOUSE,60,0,0.0
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,RADIO GREENBRIER,1800.0
WEST VIRGINIA,TODD LONGANACRE,STATE HOUSE,42,WEST VIRGINIA DAILY NEWS,1495.84
