STATE,CANDIDATE,OFFICE,DISTRICT,PAYEE,AMOUNT
WYOMING,SANDY NEWSOME,STATE HOUSE,24,LEGEND COMMUNICATIONS,4646.0
WYOMING,SANDY NEWSOME,STATE HOUSE,24,CODY ENTERPRISE,4046.1
WYOMING,SANDY NEWSOME,STATE HOUSE,24,GOODYEAR PRINTING,2202.95
WYOMING,SANDY NEWSOME,STATE HOUSE,24,FACEBOOK,1759.1000000000001
WYOMING,SANDY NEWSOME,STATE HOUSE,24,OPEN RANGE STRATEGIES,850.0
WYOMING,SANDY NEWSOME,STATE HOUSE,24,POWELL TRIBUNE,850.0
WYOMING,SANDY NEWSOME,STATE HOUSE,24,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),825.0
WYOMING,SANDY NEWSOME,STATE HOUSE,24,BUYERS GUIDE,765.12
WYOMING,SANDY NEWSOME,STATE HOUSE,24,ROVENNA SIGNS,378.56
WYOMING,SANDY NEWSOME,STATE HOUSE,24,WIX,204.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,AMBI MAIL AND MARKETING,9069.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,NATRONA COUNTY REPUBLICAN PARTY (WYOMING),500.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,JAMES LEE ANDERSON,STATE SENATE,28,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,AMBI MAIL AND MARKETING,750.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,SENATE REPUBLICAN PAC (WYOMING),600.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,CENTRAL WYOMING HOSPICE,200.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,MADISON LETTERFORM,161.16
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,SENATE COURTESY FUND,129.5
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,RELAY 4 LIFE,100.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,WILLIAM R. LANDEN,STATE SENATE,27,0,0.0
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,SVI MEDIA,2204.5
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,PRINTSTAR,1836.9799999999998
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),1805.81
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,EVERYTHING BRANDED,974.0
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,4 IMPRINT,752.69
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,STAPLES,413.38
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,FACEBOOK,340.0
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,WINCO FOODS,161.71
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,HOBBY LOBBY,57.46
WYOMING,EVAN J. SIMPSON,STATE HOUSE,21,TRUE VALUE,16.79
WYOMING,OCEAN ANDREW,STATE HOUSE,46,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),2360.61
WYOMING,OCEAN ANDREW,STATE HOUSE,46,THE UPS STORE,2086.7
WYOMING,OCEAN ANDREW,STATE HOUSE,46,DIGITAL BLUES,1143.0
WYOMING,OCEAN ANDREW,STATE HOUSE,46,REPUBLICAN SIGNS (WYOMING),1069.69
WYOMING,OCEAN ANDREW,STATE HOUSE,46,PRINTSONTHECHEAP,354.89
WYOMING,OCEAN ANDREW,STATE HOUSE,46,HOME DEPOT,299.59000000000003
WYOMING,OCEAN ANDREW,STATE HOUSE,46,TRACTOR SUPPLY COMPANY,284.66
WYOMING,OCEAN ANDREW,STATE HOUSE,46,APG ROCKIES ADVE,225.0
WYOMING,OCEAN ANDREW,STATE HOUSE,46,WIX,199.0
WYOMING,OCEAN ANDREW,STATE HOUSE,46,CHEAPDOORHANGERS,128.42
WYOMING,ED COOPER,STATE SENATE,20,ABBY O'DONNELL,6169.04
WYOMING,ED COOPER,STATE SENATE,20,PROCORP IMAGES,3886.58
WYOMING,ED COOPER,STATE SENATE,20,ED COOPER - MILEAGE REIMBURSEMENT APRIL TO OCT,2892.5
WYOMING,ED COOPER,STATE SENATE,20,BIG HORN RADIO,1360.0
WYOMING,ED COOPER,STATE SENATE,20,LIAM (831),1100.0
WYOMING,ED COOPER,STATE SENATE,20,DAILY NEWS,981.75
WYOMING,ED COOPER,STATE SENATE,20,BIG HORN COUNTY NEWSPAPER (WYOMING),919.0
WYOMING,ED COOPER,STATE SENATE,20,INDEPENDENT RECORD THERMOPOLIS,1397.1999999999998
WYOMING,ED COOPER,STATE SENATE,20,WYOMING LIVESTOCK ROUNDUP,660.0
WYOMING,ED COOPER,STATE SENATE,20,REPUBLICAN RUSTLER BASIN (WYOMING),567.0
WYOMING,DAVE KINSKEY,STATE SENATE,22,MAJORITY STRATEGIES,20985.979999999996
WYOMING,DAVE KINSKEY,STATE SENATE,22,BUFFALO BULLETIN,598.5
WYOMING,DAVE KINSKEY,STATE SENATE,22,KAYCEE COMMUNITY VOICE,80.0
WYOMING,DAVE KINSKEY,STATE SENATE,22,0,0.0
WYOMING,DAVE KINSKEY,STATE SENATE,22,0,0.0
WYOMING,DAVE KINSKEY,STATE SENATE,22,0,0.0
WYOMING,DAVE KINSKEY,STATE SENATE,22,0,0.0
WYOMING,DAVE KINSKEY,STATE SENATE,22,0,0.0
WYOMING,DAVE KINSKEY,STATE SENATE,22,0,0.0
WYOMING,DAVE KINSKEY,STATE SENATE,22,0,0.0
WYOMING,JOHN KOLB,STATE SENATE,12,AMBI MAIL AND MARKETING,6000.0
WYOMING,JOHN KOLB,STATE SENATE,12,THE RADIO NETWORK,2730.0
WYOMING,JOHN KOLB,STATE SENATE,12,WYORADIO,2204.0
WYOMING,JOHN KOLB,STATE SENATE,12,FACEBOOK,1577.99
WYOMING,JOHN KOLB,STATE SENATE,12,MODEL SIGN,1293.57
WYOMING,JOHN KOLB,STATE SENATE,12,BERNIE ANDRAS,1100.0
WYOMING,JOHN KOLB,STATE SENATE,12,WIX,156.0
WYOMING,JOHN KOLB,STATE SENATE,12,0,0.0
WYOMING,JOHN KOLB,STATE SENATE,12,0,0.0
WYOMING,JOHN KOLB,STATE SENATE,12,0,0.0
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,BIG HORN RADIO NETWORK,1744.0
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,POWELL TRIBUNE,1078.31
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,SYLVESTRI CUSTOMIZATION,1000.0
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,TREASURED MEMORIES,759.29
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,CODY ENTERPRISE,705.0
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,KPOW,598.0
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),548.31
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,LEWIS PROMOTIONAL MARKETING,543.0
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,WHITE INK,504.4
WYOMING,RACHEL RODRIGUEZ-WILLIAMS,STATE HOUSE,50,BUYERS GUIDE,424.8
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,DIGITAL BLUES PRINT SHOP,3406.5899999999997
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,MURPHY-STELLA PRODUCTIONS,3000.0
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,SYLVESTRI CUSTOMIZATION,1750.0
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,MIKE VANATA,1750.0
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),1743.4
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,AMBI MAIL AND MARKETING,1607.8
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,FACEBOOK,1232.8400000000001
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,BUILDASIGN.COM,734.0
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,THE DURLACHER,700.0
WYOMING,KARLEE PROVENZA,STATE HOUSE,45,STEAM VAPOUR CO,600.0
WYOMING,ALBERT SOMMERS,STATE HOUSE,20,PINEDALE ROUNDUP,1425.0
WYOMING,ALBERT SOMMERS,STATE HOUSE,20,SUBLETTE EXAMINER,825.0
WYOMING,ALBERT SOMMERS,STATE HOUSE,20,PECZUH,805.32
WYOMING,ALBERT SOMMERS,STATE HOUSE,20,SOMMERS STUDIO,574.3000000000001
WYOMING,ALBERT SOMMERS,STATE HOUSE,20,KPIN,509.0
